id,query,company,gold,n_gold,evidence_hit,answer_ceiling,label,elapsed_sec
16,셀트리온 주요사항보고서(자기주식취득결정) 자본금의액 얼마야?,셀트리온,"220,290,520,000",1,1,1,상한도달,3.406
17,셀트리온의 주요사항보고서(자기주식취득결정)에서 직전사업연도까지적립된자본준비금과이익준비금의합계액 알려줘,셀트리온,"12,760,948,114,311",1,1,1,상한도달,3.61
18,셀트리온 대통령령이정하는미실현이익이(가) 어떻게 돼?,셀트리온,"2,563,859,892",1,1,1,상한도달,3.377
19,셀트리온 주요사항보고서(자기주식취득결정) 소계 얼마야?,셀트리온,"4,056,770,661,231",1,0,1,상한도달,3.416
20,셀트리온의 주요사항보고서(자기주식취득결정)에서 직전사업연도말이후정기주주총회에서결의된이익배당금액및관련이익준비금 알려줘,셀트리온,"113,964,140,950",1,1,1,상한도달,3.637
21,셀트리온 직전사업연도말이후자기주식처분시처분주식의취득원가이(가) 어떻게 돼?,셀트리온,"1,031,296,937,692",1,0,0,검색실패,3.405
22,한미반도체 주요사항보고서(자기주식취득신탁계약체결결정) 순자산액 얼마야?,한미반도체,"591,752,077,619",1,1,1,상한도달,3.054
23,한미반도체의 주요사항보고서(자기주식취득신탁계약체결결정)에서 자본금의액 알려줘,한미반도체,"12,716,420,500",1,1,1,상한도달,2.978
24,한미반도체 직전사업연도까지적립된자본준비금과이익준비금의합계액이(가) 어떻게 돼?,한미반도체,"62,740,283,188",1,0,0,검색실패,3.364
25,한미반도체 주요사항보고서(자기주식취득신탁계약체결결정) 대통령령이정하는미실현이익 얼마야?,한미반도체,"211,505,740,503",1,0,0,검색실패,3.404
26,한미반도체의 주요사항보고서(자기주식취득신탁계약체결결정)에서 소계 알려줘,한미반도체,"304,789,633,428",1,1,1,상한도달,3.296
27,한미반도체 직전사업연도말이후정기주주총회에서결의된이익배당금액및관련이익준비금이(가) 어떻게 돼?,한미반도체,"40,521,474,840",1,1,1,상한도달,3.374
28,한미반도체 주요사항보고서(자기주식취득신탁계약체결결정) 신탁계약의계약금액 얼마야?,한미반도체,"90,000,000,000",1,1,1,상한도달,3.003
29,한미반도체의 주요사항보고서(자기주식취득신탁계약체결결정)에서 자기주식취득금액한도 알려줘,한미반도체,"174,268,158,588",1,1,1,상한도달,3.031
30,시프트업 순자산액이(가) 어떻게 돼?,시프트업,"764,404,135,605",1,0,1,상한도달,3.35
31,시프트업 주요사항보고서(자기주식취득신탁계약체결결정) 자본금의액 얼마야?,시프트업,"11,666,944,000",1,1,1,상한도달,3.695
32,시프트업의 주요사항보고서(자기주식취득신탁계약체결결정)에서 직전사업연도까지적립된자본준비금과이익준비금의합계액 알려줘,시프트업,"533,717,737,644",1,1,1,상한도달,3.512
33,시프트업 대통령령이정하는미실현이익이(가) 어떻게 돼?,시프트업,"15,854,824,921",1,1,1,상한도달,3.41
34,시프트업 주요사항보고서(자기주식취득신탁계약체결결정) 소계 얼마야?,시프트업,"203,164,629,040",1,1,1,상한도달,3.36
35,현대글로비스의 주요사항보고서(무상증자결정)에서 보통주식 알려줘,현대글로비스,"37,500,000",1,1,1,상한도달,3.267
36,시프트업 직전사업연도말이후자기주식취득금액이(가) 어떻게 돼?,시프트업,"49,973,057,100",1,1,1,상한도달,3.272
37,LG씨엔에스 주요사항보고서(유상증자결정) 시설자금 얼마야?,LG씨엔에스,"25,020,000,000",1,1,1,상한도달,3.416
38,LG씨엔에스의 주요사항보고서(유상증자결정)에서 영업양수자금 알려줘,LG씨엔에스,"330,000,000,000",1,1,1,상한도달,3.422
39,LG씨엔에스 채무상환자금이(가) 어떻게 돼?,LG씨엔에스,"160,000,000,000",1,0,0,검색실패,3.541
40,LG유플러스 주요사항보고서(자기주식취득신탁계약체결결정) 순자산액 얼마야?,LG유플러스,"8,628,357,729,873",1,1,1,상한도달,3.531
41,LG유플러스의 주요사항보고서(자기주식취득신탁계약체결결정)에서 자본금의액 알려줘,LG유플러스,"2,573,969,175,000",1,1,1,상한도달,3.654
42,LG유플러스 직전사업연도까지적립된자본준비금과이익준비금의합계액이(가) 어떻게 돼?,LG유플러스,"1,072,017,276,697",1,0,0,검색실패,3.431
43,LG유플러스 주요사항보고서(자기주식취득신탁계약체결결정) 대통령령이정하는미실현이익 얼마야?,LG유플러스,"8,133,138,515",1,1,0,근거만도달,3.398
44,LG유플러스의 주요사항보고서(자기주식취득신탁계약체결결정)에서 소계 알려줘,LG유플러스,"4,974,238,139,661",1,1,1,상한도달,3.403
45,LG유플러스 직전사업연도말이후정기주주총회에서결의된이익배당금액및관련이익준비금이(가) 어떻게 돼?,LG유플러스,"199,870,183,680",1,0,0,검색실패,3.401
46,LG유플러스 주요사항보고서(자기주식취득신탁계약체결결정) 직전사업연도말이후이사회에서결의된분기ㆍ중간배당금액및관련이익준비금 얼마야?,LG유플러스,"107,457,088,000",1,0,0,검색실패,3.411
47,LG유플러스의 주요사항보고서(자기주식취득신탁계약체결결정)에서 자기주식취득금액한도 알려줘,LG유플러스,"4,666,910,867,981",1,1,1,상한도달,3.093
48,한미반도체 시작일이(가) 어떻게 돼?,한미반도체,2025-08-01,4,0,0,검색실패,3.092
49,한미반도체 신규시설투자등(자율공시) 종료일 얼마야?,한미반도체,2026-11-30,4,1,1,상한도달,3.464
50,한미반도체의 단일판매ㆍ공급계약체결에서 계약금액 알려줘,한미반도체,"21,483,000,000",4,1,1,상한도달,3.16
51,현대글로비스 시작일이(가) 어떻게 돼?,현대글로비스,2022-01-01,4,1,1,상한도달,3.296
52,현대글로비스 [기재정정]단일판매ㆍ공급계약체결 종료일 얼마야?,현대글로비스,2024-12-31,4,1,1,상한도달,3.447
53,LG씨엔에스의 단일판매ㆍ공급계약체결에서 계약금액 알려줘,LG씨엔에스,"242,151,000,000",4,1,1,상한도달,3.404
54,LG씨엔에스 종료일이(가) 어떻게 돼?,LG씨엔에스,2026-12-31,4,1,1,상한도달,3.12
55,LG씨엔에스 단일판매ㆍ공급계약체결 계약(수주)일자 얼마야?,LG씨엔에스,2025-12-29,4,1,1,상한도달,3.158
56,디앤디파마텍의 투자판단관련주요경영사항(임상시험계획승인신청등결정) (대사이상지방간염 (MASH) 치료제 DD01의 제2상 미국 FDA 임상시험 계획 승인)에서 사실발생(확인)일 알려줘,디앤디파마텍,2024-06-08,4,1,1,상한도달,3.554
57,현대글로비스 계약금액이(가) 어떻게 돼?,현대글로비스,"1,652,800,000,000",3,1,1,상한도달,3.403
58,현대글로비스 [기재정정]단일판매ㆍ공급계약체결 최근매출액 얼마야?,현대글로비스,"16,519,884,633,100",3,1,1,상한도달,3.687
59,현대글로비스의 [기재정정]단일판매ㆍ공급계약체결에서 계약(수주)일자 알려줘,현대글로비스,2021-12-28,3,1,1,상한도달,3.44
60,SK하이닉스 투자금액이(가) 어떻게 돼?,SK하이닉스,"5,296,200,000,000",3,1,1,상한도달,3.572
61,SK하이닉스 신규시설투자등 시작일 얼마야?,SK하이닉스,2024-04-24,3,1,1,상한도달,3.554
62,SK하이닉스의 신규시설투자등에서 종료일 알려줘,SK하이닉스,2026-10-30,3,1,1,상한도달,3.417
63,SK하이닉스 이사회결의일이(가) 어떻게 돼?,SK하이닉스,2024-04-24,3,0,0,검색실패,3.421
64,한미반도체 단일판매ㆍ공급계약체결 최근매출액 얼마야?,한미반도체,"327,592,058,714",2,1,1,상한도달,3.202
65,현대글로비스의 [기재정정]단일판매ㆍ공급계약체결에서 정정일자 알려줘,현대글로비스,2025-01-17,2,1,1,상한도달,3.449
66,현대글로비스 정정관련공시서류제출일이(가) 어떻게 돼?,현대글로비스,2021.12.28,2,1,1,상한도달,3.051
67,한미반도체 단일판매ㆍ공급계약체결(자율공시) 계약(수주)일 얼마야?,한미반도체,2023-06-22,2,1,1,상한도달,3.202
68,삼성중공업의 단일판매ㆍ공급계약체결에서 최근매출액 알려줘,삼성중공업,"8,009,400,000,000",2,0,1,상한도달,3.162
69,현대글로비스 이사회결의일이(가) 어떻게 돼?,현대글로비스,2024-04-25,2,1,1,상한도달,3.438
70,SK하이닉스 신규시설투자등 자기자본 얼마야?,SK하이닉스,"53,503,752,397,611",2,1,1,상한도달,3.834
71,한미반도체의 신규시설투자등(자율공시)에서 투자금액 알려줘,한미반도체,"28,480,000,000",1,1,1,상한도달,3.31
72,한미반도체 자기자본이(가) 어떻게 돼?,한미반도체,"540,887,863,389",1,1,1,상한도달,3.451
73,한미반도체 신규시설투자등(자율공시) 이사회결의일 얼마야?,한미반도체,2025-06-20,1,1,1,상한도달,3.59
74,한미반도체의 단일판매ㆍ공급계약체결에서 계약(수주)일자 알려줘,한미반도체,2024-03-21,1,1,1,상한도달,3.202
75,디앤디파마텍 정정대상공시서류의최초제출일이(가) 어떻게 돼?,디앤디파마텍,2025년 2월 10일,1,1,1,상한도달,2.862
76,시프트업 주요사항보고서(회사합병결정) 설립일자 얼마야?,시프트업,2020년 9월 25일,1,1,1,상한도달,3.563
77,"시프트업의 주요사항보고서(회사합병결정)에서 보통주10,000주 알려줘",시프트업,100.00%,1,1,1,상한도달,3.08
78,삼성중공업 정정일자이(가) 어떻게 돼?,삼성중공업,2024-04-08,1,0,0,검색실패,3.497
79,삼성중공업 [기재정정]단일판매ㆍ공급계약체결 정정관련공시서류제출일 얼마야?,삼성중공업,2024-01-02,1,0,0,검색실패,3.549
80,디앤디파마텍의 투자판단관련주요경영사항(임상시험계획승인신청등결정) (대사이상지방간염 (MASH) 치료제 DD01의 제2상 미국 FDA 임상시험 계획 승인)에서 신청일 알려줘,디앤디파마텍,2024-05-09,1,1,1,상한도달,3.535
81,디앤디파마텍 승인일이(가) 어떻게 돼?,디앤디파마텍,2024-06-08,1,1,1,상한도달,3.508
82,디앤디파마텍 투자판단관련주요경영사항(임상시험계획승인신청등결정) (대사이상지방간염 (MASH) 치료제 DD01의 제2상 미국 FDA 임상시험 계획 승인) 예상종료일 얼마야?,디앤디파마텍,2026-06-30,1,1,1,상한도달,3.623
83,LG씨엔에스의 투자판단관련주요경영사항에서 이사회결의일(결정일)또는사실확인일 알려줘,LG씨엔에스,2025-11-26,1,1,1,상한도달,3.299
84,현대글로비스 투자금액이(가) 어떻게 돼?,현대글로비스,"1,027,500,000,000",1,1,1,상한도달,3.479
85,현대글로비스 신규시설투자등 자기자본 얼마야?,현대글로비스,"7,783,923,620,253",1,1,1,상한도달,3.53
86,현대글로비스의 주요사항보고서(무상증자결정)에서 신주배정기준일 알려줘,현대글로비스,2024년 07월 15일,1,1,1,상한도달,3.576
87,현대글로비스 신주의배당기산일이(가) 어떻게 돼?,현대글로비스,2024년 01월 01일,1,1,1,상한도달,3.583
88,현대글로비스 주요사항보고서(무상증자결정) 신주의상장예정일 얼마야?,현대글로비스,2024년 08월 02일,1,1,1,상한도달,3.512
89,디앤디파마텍의 주요사항보고서(무상증자결정)에서 신주배정기준일 알려줘,디앤디파마텍,2025.11.14,1,1,1,상한도달,3.533
90,디앤디파마텍 신주의배당기산일이(가) 어떻게 돼?,디앤디파마텍,2025.01.01,1,1,1,상한도달,3.52
91,디앤디파마텍 주요사항보고서(무상증자결정) 신주의상장예정일 얼마야?,디앤디파마텍,2025.12.05,1,1,1,상한도달,3.554
92,디앤디파마텍의 주요사항보고서(무상증자결정)에서 이사회결의일 알려줘,디앤디파마텍,2025.10.29,1,1,1,상한도달,3.557
93,LG씨엔에스 유보기한이(가) 어떻게 돼?,LG씨엔에스,2029-04-04,1,1,1,상한도달,3.695
94,SK하이닉스 투자판단관련주요경영사항 이사회결의일(결정일)또는사실확인일 얼마야?,SK하이닉스,2024-12-19,1,1,1,상한도달,3.38
95,LG유플러스의 신규시설투자등에서 투자금액 알려줘,LG유플러스,"615,600,000,000",1,1,1,상한도달,3.497
96,LG유플러스 자기자본이(가) 어떻게 돼?,LG유플러스,"8,768,379,152,088",1,1,1,상한도달,3.555
97,LG유플러스 신규시설투자등 시작일 얼마야?,LG유플러스,2025-05-07,1,1,1,상한도달,3.455
98,LG유플러스의 신규시설투자등에서 종료일 알려줘,LG유플러스,2027-05-25,1,1,1,상한도달,3.29
99,LG유플러스 이사회결의일이(가) 어떻게 돼?,LG유플러스,2025-04-29,1,0,0,검색실패,3.493
100,SK하이닉스 [기재정정]주요사항보고서(영업양수결정) 정정대상공시서류의최초제출일 얼마야?,SK하이닉스,2020년 10월 20일,1,1,1,상한도달,3.018
101,디앤디파마텍의 투자판단관련주요경영사항 (DD02S 관련 마일스톤 기술료 수령)에서 결정일 알려줘,디앤디파마텍,2024-11-22,1,1,1,상한도달,3.587
1,한미반도체 사업보고서 (2025.12) 자본총계 얼마야?,한미반도체,"690,327,520",2,1,1,상한도달,3.548
2,한미반도체의 사업보고서 (2025.12)에서 자산총계 알려줘,한미반도체,"813,331,626",2,1,1,상한도달,3.55
3,한미반도체 시장변수상승시당기손익증가이(가) 어떻게 돼?,한미반도체,"2,544,957",2,1,1,상한도달,3.6
4,한미반도체 사업보고서 (2025.12) 예금잔액 얼마야?,한미반도체,"276,233,849",2,1,1,상한도달,3.549
5,한미반도체의 사업보고서 (2025.12)에서 현금및현금성자산합계 알려줘,한미반도체,"276,235,378",2,1,1,상한도달,3.576
6,한미반도체 기간동안비용으로인식한재고자산의원가이(가) 어떻게 돼?,한미반도체,"240,106",2,1,1,상한도달,3.59
7,한미반도체 사업보고서 (2025.12) 기타유동금융자산 얼마야?,한미반도체,"1,620,849",2,1,1,상한도달,3.573
8,한미반도체의 사업보고서 (2025.12)에서 단기미수금 알려줘,한미반도체,"638,012",2,1,1,상한도달,3.613
9,한미반도체 단기보증금이(가) 어떻게 돼?,한미반도체,"982,837",2,1,1,상한도달,3.591
10,한미반도체 사업보고서 (2025.12) 기타비유동금융자산 얼마야?,한미반도체,"665,178",2,1,1,상한도달,3.604
11,한미반도체의 사업보고서 (2025.12)에서 장기보증금 알려줘,한미반도체,"665,178",2,1,0,근거만도달,3.521
12,한미반도체 기타유동자산이(가) 어떻게 돼?,한미반도체,"2,659,137",2,1,1,상한도달,3.516
13,한미반도체 사업보고서 (2025.12) 유동선급비용 얼마야?,한미반도체,"633,170",2,0,1,상한도달,3.574
14,한미반도체의 사업보고서 (2025.12)에서 유동선급금 알려줘,한미반도체,"729,787",2,1,1,상한도달,3.521
15,한미반도체 부가가치세대급금이(가) 어떻게 돼?,한미반도체,"1,294,380",2,1,1,상한도달,3.54
16,한미반도체 사업보고서 (2025.12) 기타비유동자산 얼마야?,한미반도체,"624,830",2,1,1,상한도달,3.531
17,한미반도체의 사업보고서 (2025.12)에서 비유동선급금 알려줘,한미반도체,"624,830",2,1,1,상한도달,3.555
18,한미반도체 투자부동산에서발생한임대수익이(가) 어떻게 돼?,한미반도체,"162,000",2,1,1,상한도달,3.567
19,시프트업 분기보고서 (2025.09) 예금잔액 얼마야?,시프트업,"131,965,669",2,1,1,상한도달,3.603
20,시프트업의 분기보고서 (2025.09)에서 기타유동자산 알려줘,시프트업,"11,014,148",2,1,1,상한도달,3.573
21,시프트업 유동선급비용이(가) 어떻게 돼?,시프트업,"8,747,904",2,1,1,상한도달,3.509
22,시프트업 분기보고서 (2025.09) 사용권자산 얼마야?,시프트업,"9,137,596",2,1,1,상한도달,3.511
23,시프트업의 분기보고서 (2025.09)에서 리스부채 알려줘,시프트업,"9,238,839",2,1,1,상한도달,3.541
24,시프트업 유동리스부채이(가) 어떻게 돼?,시프트업,"2,713,253",2,0,1,상한도달,3.525
25,삼성중공업 반기보고서 (2023.06) 자산총계 얼마야?,삼성중공업,"448,424,507",2,1,0,근거만도달,3.559
26,삼성중공업의 반기보고서 (2023.06)에서 부채총계 알려줘,삼성중공업,"93,674,903",2,1,0,근거만도달,3.866
27,삼성중공업 자본총계이(가) 어떻게 돼?,삼성중공업,"354,749,604",2,0,0,검색실패,3.63
28,삼성중공업 반기보고서 (2023.06) 매출액 얼마야?,삼성중공업,"302,231,360",2,1,0,근거만도달,3.616
29,삼성중공업의 반기보고서 (2023.06)에서 영업이익 알려줘,삼성중공업,"43,376,630",2,1,0,근거만도달,3.574
30,삼성중공업 당기순이익이(가) 어떻게 돼?,삼성중공업,"55,654,077",2,1,0,근거만도달,3.571
31,"한미반도체 사업보고서 (2025.12) 생활잡화,기타잡화,의류,기념품,도기,미술품등의도소매업 얼마야?",한미반도체,2025년 09월 17일,1,1,1,상한도달,3.632
32,한미반도체의 사업보고서 (2025.12)에서 위각호에관련된전자상거래업 알려줘,한미반도체,2025년 09월 17일,1,1,1,상한도달,3.596
33,한미반도체 위각호에관련된통신판매업이(가) 어떻게 돼?,한미반도체,2025년 09월 17일,1,1,1,상한도달,3.63
34,한미반도체 사업보고서 (2025.12) 보험가입금액 얼마야?,한미반도체,"106,961",1,1,1,상한도달,3.657
35,현대글로비스의 [기재정정]사업보고서 (2023.12)에서 기체연료및관련제품도매업 알려줘,현대글로비스,2021년 03월 24일,1,1,1,상한도달,3.577
36,현대글로비스 운송장비용가스충전업이(가) 어떻게 돼?,현대글로비스,2021년 03월 24일,1,1,1,상한도달,3.517
37,"현대글로비스 [기재정정]사업보고서 (2023.12) 로봇의제조,수출입,유통,임대,유지보수및관련서비스업 얼마야?",현대글로비스,2021년 03월 24일,1,1,1,상한도달,3.644
38,"현대글로비스의 [기재정정]사업보고서 (2023.12)에서 소프트웨어의자문,개발,공급,유지보수및관련서비스업 알려줘",현대글로비스,2021년 03월 24일,1,1,1,상한도달,3.59
39,현대글로비스 수소·암모니아발전사업및탄소중립관련부대사업이(가) 어떻게 돼?,현대글로비스,2022년 03월 23일,1,1,1,상한도달,3.535
40,현대글로비스 [기재정정]사업보고서 (2023.12) 전기공사업 얼마야?,현대글로비스,2023년 03월 29일,1,1,0,근거만도달,3.548
41,현대글로비스의 [기재정정]사업보고서 (2023.12)에서 소방시설공사업 알려줘,현대글로비스,2023년 03월 29일,1,1,1,상한도달,3.578
42,LG유플러스 신용정보의이용및보호에관한법률에따른본인신용정보관리업및그겸영업무·부수업무추가이(가) 어떻게 돼?,LG유플러스,2023년 03월 17일,1,1,1,상한도달,3.761
43,"시프트업 분기보고서 (2025.09) 매입,공정가치측정,자산 얼마야?",시프트업,"73,135,089",1,1,1,상한도달,3.553
44,"시프트업의 분기보고서 (2025.09)에서 평가,공정가치측정,자산 알려줘",시프트업,"483,946",1,1,1,상한도달,3.554
45,시프트업 기말이(가) 어떻게 돼?,시프트업,"73,619,035",1,0,0,검색실패,3.732
46,시프트업 분기보고서 (2025.09) 기타포괄손익-공정가치측정비유동금융자산 얼마야?,시프트업,"13,636,809",1,1,1,상한도달,3.823
47,시프트업의 분기보고서 (2025.09)에서 유동선급금 알려줘,시프트업,"2,000,691",1,1,1,상한도달,3.584
48,시프트업 유동부가세미수금이(가) 어떻게 돼?,시프트업,"265,553",1,1,1,상한도달,3.519
49,시프트업 분기보고서 (2025.09) 기타비유동자산 얼마야?,시프트업,"3,640,482",1,1,1,상한도달,3.502
50,시프트업의 분기보고서 (2025.09)에서 장기선급비용 알려줘,시프트업,"3,640,482",1,1,1,상한도달,3.551
51,시프트업 비유동리스부채이(가) 어떻게 돼?,시프트업,"6,525,586",1,1,1,상한도달,3.544
52,SK하이닉스 분기보고서 (2024.03) 유동소계 얼마야?,SK하이닉스,"376,546",4,1,0,근거만도달,3.522
53,SK하이닉스의 분기보고서 (2024.03)에서 비유동소계 알려줘,SK하이닉스,"438,437",4,1,1,상한도달,3.513
54,SK하이닉스 합계이(가) 어떻게 돼?,SK하이닉스,"814,983",4,0,0,검색실패,3.534
55,셀트리온 분기보고서 (2024.03) 자산 얼마야?,셀트리온,"384,059,833",3,1,0,근거만도달,3.603
56,셀트리온의 분기보고서 (2024.03)에서 부채 알려줘,셀트리온,"12,301,673",3,1,0,근거만도달,3.854
57,셀트리온 자본이(가) 어떻게 돼?,셀트리온,"371,758,159",3,0,0,검색실패,3.537
58,셀트리온 분기보고서 (2024.03) 매출 얼마야?,셀트리온,"25,919,353",3,1,1,상한도달,3.536
59,셀트리온의 분기보고서 (2024.03)에서 당기손익-공정가치측정금융자산 알려줘,셀트리온,"1,545,341",3,1,1,상한도달,3.598
60,셀트리온 소계이(가) 어떻게 돼?,셀트리온,"173,164,311",3,0,0,검색실패,3.568
61,셀트리온 분기보고서 (2024.03) 순손익 얼마야?,셀트리온,"2,316,929",2,1,0,근거만도달,3.604
62,셀트리온의 분기보고서 (2024.03)에서 총포괄손익 알려줘,셀트리온,"18,023,692",2,1,1,상한도달,3.528
63,셀트리온 단기금융상품이(가) 어떻게 돼?,셀트리온,"171,618,970",2,1,1,상한도달,3.581
64,셀트리온 분기보고서 (2024.03) 기타포괄손익-공정가치측정금융자산 얼마야?,셀트리온,"17,960,667",2,1,1,상한도달,3.52
65,현대글로비스의 [기재정정]사업보고서 (2023.12)에서 예금잔액 알려줘,현대글로비스,"1,091,801,335",2,1,0,근거만도달,3.546
66,현대글로비스 현금성자산으로분류된단기투자자산이(가) 어떻게 돼?,현대글로비스,"1,199,626,203",2,1,0,근거만도달,3.542
67,현대글로비스 [기재정정]사업보고서 (2023.12) 현금및현금성자산합계 얼마야?,현대글로비스,"2,290,825,258",2,1,0,근거만도달,3.561
68,현대글로비스의 [기재정정]사업보고서 (2023.12)에서 기타유동금융자산 알려줘,현대글로비스,"1,739,928,900",2,1,1,상한도달,3.541
69,현대글로비스 단기금융상품이(가) 어떻게 돼?,현대글로비스,"1,714,146,820",2,1,1,상한도달,3.569
70,현대글로비스 [기재정정]사업보고서 (2023.12) 유동파생상품자산 얼마야?,현대글로비스,"12,824,638",2,1,1,상한도달,3.535
71,현대글로비스의 [기재정정]사업보고서 (2023.12)에서 유동금융리스채권 알려줘,현대글로비스,"11,346,924",2,1,0,근거만도달,3.538
72,현대글로비스 단기대여금이(가) 어떻게 돼?,현대글로비스,"1,610,518",2,1,0,근거만도달,3.523
73,현대글로비스 [기재정정]사업보고서 (2023.12) 기타비유동금융자산 얼마야?,현대글로비스,"223,614,405",2,1,1,상한도달,3.534
74,현대글로비스의 [기재정정]사업보고서 (2023.12)에서 비유동파생상품자산 알려줘,현대글로비스,"602,142",2,1,1,상한도달,3.527
75,현대글로비스 비유동금융리스채권이(가) 어떻게 돼?,현대글로비스,"6,191,775",2,1,0,근거만도달,3.534
76,현대글로비스 [기재정정]사업보고서 (2023.12) 장기대여금 얼마야?,현대글로비스,"10,266,414",2,1,1,상한도달,3.752
77,현대글로비스의 [기재정정]사업보고서 (2023.12)에서 기타포괄손익-공정가치측정기타금융자산 알려줘,현대글로비스,"206,538,115",2,1,1,상한도달,3.697
78,현대모비스 수익이(가) 어떻게 돼?,현대모비스,"22,027,539",2,1,0,근거만도달,3.514
79,현대모비스 반기보고서 (2024.06) 매출채권및기타채권 얼마야?,현대모비스,"7,947,409",2,1,1,상한도달,3.54
80,현대모비스의 반기보고서 (2024.06)에서 상품 알려줘,현대모비스,"2,393,927",2,1,1,상한도달,3.534
81,현대모비스 제품이(가) 어떻게 돼?,현대모비스,"233,186",2,0,0,검색실패,3.516
82,현대모비스 반기보고서 (2024.06) 재공품 얼마야?,현대모비스,"330,396",2,1,1,상한도달,3.551
83,현대모비스의 반기보고서 (2024.06)에서 원재료 알려줘,현대모비스,"1,938,005",2,1,0,근거만도달,3.589
84,현대모비스 미착품이(가) 어떻게 돼?,현대모비스,"1,002,010",2,1,1,상한도달,3.547
85,현대모비스 반기보고서 (2024.06) 총유동재고자산 얼마야?,현대모비스,"6,043,567",2,1,1,상한도달,3.533
86,현대모비스의 반기보고서 (2024.06)에서 매출채권외의유동채권 알려줘,현대모비스,"705,564",2,1,0,근거만도달,3.592
87,현대모비스 선급제세이(가) 어떻게 돼?,현대모비스,"366,182",2,1,1,상한도달,3.575
88,현대모비스 반기보고서 (2024.06) 매출채권외의비유동채권 얼마야?,현대모비스,"723,164",2,1,1,상한도달,3.549
89,현대모비스의 반기보고서 (2024.06)에서 장기미수금 알려줘,현대모비스,"467,271",2,1,1,상한도달,3.532
90,현대모비스 장기보증금자산이(가) 어떻게 돼?,현대모비스,"122,363",2,1,1,상한도달,3.534
91,현대모비스 반기보고서 (2024.06) 순확정급여자산 얼마야?,현대모비스,"107,789",2,1,0,근거만도달,3.542
92,현대모비스의 반기보고서 (2024.06)에서 기초유형자산 알려줘,현대모비스,"10,480,920",2,1,1,상한도달,3.663
93,"현대모비스 취득,유형자산이(가) 어떻게 돼?",현대모비스,"1,059,931",2,0,0,검색실패,3.735
94,현대모비스 반기보고서 (2024.06) 기말유형자산 얼마야?,현대모비스,"11,267,931",2,1,1,상한도달,3.64
95,LG유플러스의 [기재정정]사업보고서 (2023.12)에서 계약부채-거래가격배분 알려줘,LG유플러스,"125,312",2,1,1,상한도달,3.635
96,LG유플러스 예금및적금등이(가) 어떻게 돼?,LG유플러스,"559,554",2,1,1,상한도달,3.629
97,"LG유플러스 [기재정정]사업보고서 (2023.12) 계약체결증분원가,유동 얼마야?",LG유플러스,"1,165,229",2,1,1,상한도달,3.643
98,"LG유플러스의 [기재정정]사업보고서 (2023.12)에서 기타,기타유동자산 알려줘",LG유플러스,"213,829",2,1,1,상한도달,3.588
99,LG유플러스 기타유동자산이(가) 어떻게 돼?,LG유플러스,"1,557,731",2,0,1,상한도달,3.571
100,"LG유플러스 [기재정정]사업보고서 (2023.12) 계약체결증분원가,비유동 얼마야?",LG유플러스,"516,689",2,1,1,상한도달,3.734
