id,query,company,gold,n_gold,answer,answer_hit,evidence_hit,citation_hit,refusal,label,numbers_grounded,has_citation,validation_passed,warnings,remediation,n_tool_calls,iterations,n_nudges,error,elapsed_sec
47,시프트업의 분기보고서 (2025.09)에서 유동선급금 알려줘,시프트업,"2,000,691",1,"시프트업의 분기보고서(2025.09)에서 유동선급금은 2,000,691천원으로 보고되었습니다.  근거:  - [EVIDENCE 1], chunk_id: periodic_20251113001036::main::P18::C9, ""기타유동자산"" 섹션에서 ""유동선급금: 2,000,691""  근거: report_id(periodic_20251113001036, chunk_id: periodic_20251113001036::main::P18::C9)",1,1,1,0,정답,1,1,1,,,2,3,0,,21.2
54,LG씨엔에스 종료일이(가) 어떻게 돼?,LG씨엔에스,2026-12-31,4,제공된 근거로는 확인할 수 없습니다.   근거: report_id(None),0,1,0,1,거부(근거있음),1,0,0,답변에 근거(report_id/chunk_id) 인용이 없음,재생성 1회차 기각(개선 없음): 각 수치 뒤에 근거의 report_id 를 그대로 적으세요.,1,2,0,,27.67
43,LG유플러스 주요사항보고서(자기주식취득신탁계약체결결정) 대통령령이정하는미실현이익 얼마야?,LG유플러스,"8,133,138,515",1,"LG유플러스의 주요사항보고서(자기주식취득신탁계약체결결정)에 따르면 대통령령이 정하는 미실현이익은 8,133,138,515원입니다.  근거: major_20250721000270::main::C2",1,0,1,0,정답,1,1,1,,,1,2,0,,10.24
12,시프트업 자기주식취득금액한도이(가) 어떻게 돼?,시프트업,"203,164,629,040",2,"시프트업의 자기주식취득금액한도는 두 가지 공시에서 확인할 수 있습니다:  1. 2025년 5월 12일에 체결된 자기주식취득 신탁계약에서는 자기주식취득금액한도가 203,164,629,040원으로 명시되어 있습니다. 2. 2026년 3월 10일에 체결된 자기주식취득 신탁계약에서는 자기주식취득금액한도가 153,191,571,940원으로 명시되어 있습니다.  두 공시 사이에 차이가 있으므로, 각각의 공시일을 함께 제시합니다.  근거: major_20250512000665(chunk_id: C2), major_20260310002972(chunk_id: C2)",1,1,1,0,정답,1,1,1,,,2,3,0,,20.53
33,시프트업 대통령령이정하는미실현이익이(가) 어떻게 돼?,시프트업,"15,854,824,921",1,"시프트업의 대통령령이 정하는 미실현이익에 대한 정보는 다음과 같습니다:  1. 2025년 5월 12일 공시된 주요사항보고서에 따르면, 대통령령이 정하는 미실현이익은 15,854,824,921원입니다. 2. 2026년 3월 10일 공시된 주요사항보고서에 따르면, 대통령령이 정하는 미실현이익은 여전히 15,854,824,921원으로 동일합니다.  따라서, 두 공시 모두에서 시프트업의 대통령령이 정하는 미실현이익은 15,854,824,921원으로 확인됩니다.  근거: report_id(major_20250512000665, major_20260310002972)",1,1,1,0,정답,1,1,1,,,2,3,0,,21.01
15,한미반도체 부가가치세대급금이(가) 어떻게 돼?,한미반도체,"1,294,380",2,"한미반도체의 부가가치세대급금의 최근 값은 3,499,090천원입니다.   다음은 해당 값이 나타난 공시 정보입니다: - 회사: 한미반도체 - 공시명: 분기보고서 - 공시일: 2026년 5월 15일 - 기간: 2026년 3월 - Section: III. 재무에 관한 사항 > 3. 연결재무제표 주석 - 내용: 기타자산에 대한 공시 - 당분기말: (단위: 천원) - 기타유동자산: 4,993,599 - 부가가치세대급금: 3,499,090  근거: report_id(periodic_20260515001572), chunk_id(periodic_20260515001572::main::P16::C33)",0,1,0,0,답변실패,1,1,1,,"재생성 1회차 채택: 근거의 숫자를 다른 단위로 바꿔 쓰지 마세요. 근거에 적힌 표기를 글자 그대로 옮기세요. 문제가 된 표기: ['2025.05', '2025.08', '2025.11', '2026.05']",1,2,0,,40.96
51,시프트업 비유동리스부채이(가) 어떻게 돼?,시프트업,"6,525,586",1,"시프트업의 비유동리스부채는 다음과 같습니다.  1. 2025년 6월 말 기준: 8,308,187,425원   2. 2025년 9월 말 기준: 8,308,187,425원   3. 2026년 3월 말 기준: 59,327,270,576원    근거: report_id(periodic_20250814004388::main::P17::C2), report_id(periodic_20251113001036::main::P17::C2), report_id(periodic_20260514001484::main::P15::C2)",0,1,1,0,답변실패,1,1,1,,,2,3,0,,18.23
56,셀트리온의 분기보고서 (2024.03)에서 부채 알려줘,셀트리온,"12,301,673",3,"제공된 근거로는 확인할 수 없습니다.   근거: report_id(periodic_20240516001214, chunk_id(main::P16::C57, main::P16::C62, main::P13::C15, main::P16::C61, main::P16::C58))",0,1,1,1,거부(근거있음),1,1,1,,,2,3,0,,29.08
165,시프트업 부여일이(가) 어떻게 돼?,시프트업,2024-05-17,1,"시프트업의 주식기준보상제도에 따르면, 부여일은 2024년 5월 17일입니다. 이는 여러 공시 문서에서 일관되게 확인되는 정보입니다.  근거: - 분기보고서 (2025-03): periodic_20250514001139 - 반기보고서 (2025-06): periodic_20250814004388 - 분기보고서 (2025-09): periodic_20251113001036 - 사업보고서 (2024-12): periodic_20250319000952 - 분기보고서 (2024-09): periodic_20241113000775 - 감사보고서 (2024-12): periodic_20250319000952 - 사업보고서 (2024-12): periodic_20250319000952 - 분기보고서 (2024-09): periodic_20241113000775 - 분기보고서 (2026-03): periodic_20260514001484",0,1,1,0,답변실패,1,1,1,,재생성 1회차 채택: 각 수치 뒤에 근거의 report_id 를 그대로 적으세요.,1,2,0,,21.2
95,LG유플러스의 신규시설투자등에서 투자금액 알려줘,LG유플러스,"615,600,000,000",1,"LG유플러스의 신규시설투자등의 투자금액은 다음과 같습니다:  1. **파주 AIDC 신규 구축**: 6,156억원    - 공시일: 2025년 4월 29일    - 투자기간: 2025년 5월 7일부터 2027년 5월 25일까지    - 투자목적: 고객 수요 증가에 따른 AIDC 신규 구축  2. **평촌 2센터**: 3,181억원    - 투자기간: 2021년 6월 1일부터 2023년 12월 31일까지  3. **경기도 파주시 소재 토지 및 건물 취득**: 1,053억원    - 취득 시기: 2024년 5월  위 정보는 각 공시일에 발표된 내용을 기반으로 한 것입니다. 따라서 현재까지의 정보로는 파주 AIDC 신규 구축에 대한 투자금액이 6,156억원으로 가장 최근에 발표된 주요 투자계획이라고 할 수 있습니다.  근거:  - EVIDENCE 1 (exchange_20250429800933::main::C1) - EVIDENCE 2 (periodic_20250814001643::main::P13::C38) - EVIDENCE 3 (periodic_20260515000666::main::P13::C29) - EVIDENCE 4 (periodic_202603130",0,1,1,0,답변실패,1,1,1,,,2,3,0,,43.62
208,삼성중공업 사업보고서 (2023.12) 현금흐름위험회피손익 얼마야?,삼성중공업,"371,149",1,"제공된 근거로는 확인할 수 없습니다.   근거: report_id(periodic_20240315000850(chunk_id:P17:C46)), report_id(periodic_20240315000850(chunk_id:P17:C68)), report_id(periodic_20240315000850(chunk_id:P17:C60)), report_id(periodic_20240315000850(chunk_id:P19:C42)), report_id(periodic_20240315000850(chunk_id:P19:C57))",0,0,0,1,거부(검색실패),1,1,1,,,2,3,0,,20.55
108,LG유플러스 기타유동금융부채합계이(가) 어떻게 돼?,LG유플러스,"396,467",2,"LG유플러스의 기타유동금융부채합계는 다음과 같습니다:  1. 2023년 12월 말 기준: 391,870백만 원 2. 2024년 12월 말 기준: 395,115백만 원 3. 2025년 12월 말 기준: 403,306백만 원  위의 정보는 각 해당 기간의 사업보고서에 기재된 내용을 바탕으로 합니다.  근거:  - report_id(periodic_20240313001130, chunk_id=periodic_20240313001130::main::P19::C38) - report_id(periodic_20250317000701, chunk_id=periodic_20250317000701::main::P18::C43) - report_id(periodic_20250317000701, chunk_id=periodic_20250317000701::main::P16::C89) - report_id(periodic_20260313000442, chunk_id=periodic_20260313000442::main::P16::C41)",0,1,1,0,답변실패,1,1,1,,,2,3,0,,19.93
168,시프트업 미지급주식등의총수이(가) 어떻게 돼?,시프트업,"35,000주",1,"제공된 근거로는 확인할 수 없습니다.   근거: report_id(holding_20251205000450, holding_20250307001165, holding_20251001000669, holding_20250702000038, holding_20250106000341, periodic_20250319000952, holding_20240718000301, periodic_20241113000775, periodic_20250814004388, periodic_20260318001672, holding_20240718000084)",0,1,1,1,거부(근거있음),1,1,1,,,2,3,0,,16.63
44,LG유플러스의 주요사항보고서(자기주식취득신탁계약체결결정)에서 소계 알려줘,LG유플러스,"4,974,238,139,661",1,"LG유플러스의 주요사항보고서(자기주식취득신탁계약체결결정)에서 소계는 4,974,238,139,661입니다.  근거: major_20250721000270::main::C2",1,0,1,0,정답,1,1,1,,,1,2,0,,6.56
7,한미반도체 사업보고서 (2025.12) 기타유동금융자산 얼마야?,한미반도체,"1,620,849",2,"한미반도체 사업보고서의 2025년 12월 기준 기타유동금융자산은 다음과 같습니다:  1. **사업보고서 (2025.12)**      - **기타유동금융자산**: 1,630,717천원    2. **연결재무제표 주석**      - **기타유동금융자산**: 1,620,849천원    3. **재무제표**      - **기타유동금융자산**: 1,630,717천원    위의 세 가지 증거 자료에서 확인된 값을 종합하면, 한미반도체의 2025년 12월 기준 기타유동금융자산은 각각 1,630,717천원, 1,620,849천원으로 나타납니다. 따라서 해당 정보는 두 가지 수치 중 하나로 해석될 수 있으며, 정확한 정보를 위해 추가적인 검증이 필요할 수 있습니다.  근거:  - evidence 1: chunk_id periodic_20260312001230::main::P18::C23 - evidence 2: chunk_id periodic_20260312001230::main::P15::C1 - evidence 3: chunk_id periodic_20260312001230::main::P16::C56 - evidence 4: chunk_id periodic_202",1,1,1,0,정답,1,1,1,,,2,3,0,,21.94
42,LG유플러스 신용정보의이용및보호에관한법률에따른본인신용정보관리업및그겸영업무·부수업무추가이(가) 어떻게 돼?,LG유플러스,2023년 03월 17일,1,"LG유플러스의 신용정보의 이용 및 보호에 관한 법률에 따른 본인신용정보관리업 및 그 겸영업무·부수업무 추가에 대한 정보는 다음과 같습니다:  1. **사업목적 추가 일자**: 2023년 3월 17일 (20230317) 2. **사업 분야**: 본인신용정보관리업 3. **서비스 내용**: 개인 자산 통합 조회, 지출 관리, 마이데이터 관리 등 제공 4. **진출 목적**: 통신과 금융의 데이터를 통해 새로운 고객경험의 서비스를 개발하여, 고객에게 차별적이고 체감적인 혜택을 제공하기 위함  그러나, LG유플러스는 해당 사업을 추진한 바 있으나, 현재는 관련 활동이 중단되어 미영위 업종으로 분류되었습니다. 이는 2025년 2월 이사회 의결을 받아 금융감독원 및 금융위원회에 사업 종료를 신고하여 2025년 5월 30일 최종 수리되어 폐업하였기 때문입니다.  따라서 현재 LG유플러스는 신용정보의 이용 및 보호에 관한 법률에 따른 본인신용정보관리업 및 그 겸영업무·부수업무를 영위하지 않고 있습니다.  근거: report_id(periodic_20260313000442, periodic_20250814001643)",0,1,0,0,답변실패,1,1,1,,,1,2,0,,24.66
159,LG유플러스 당기근무원가이(가) 어떻게 돼?,LG유플러스,"105,560",1,제공된 근거로는 확인할 수 없습니다.,0,0,0,1,거부(검색실패),1,0,0,근거가 하나도 없다 — 검색이 전부 실패했거나 tool 결과가 비었다,,1,2,0,,5.42
76,현대글로비스 [기재정정]사업보고서 (2023.12) 장기대여금 얼마야?,현대글로비스,"10,266,414",2,,0,0,0,0,검색실패,0,0,0,,,0,0,0,"HCXError: HCX API 오류 429: {""status"":{""code"":""42901"",""message"":""Too many requests: rate exceeded. Check response headers for current limits and retry information.""},""result"":null}",48.29
161,시프트업의 분기보고서 (2024.09)에서 합병기일 알려줘,시프트업,2024년 12월 5일,1,"시프트업의 분기보고서 (2024.09)에 따르면, 합병기일은 2024년 12월 5일입니다.  근거: report_id(periodic_20241113000775), chunk_id(periodic_20241113000775::main::P22::C1), report_id(periodic_20241113000775), chunk_id(periodic_20241113000775::main::P34::C1), report_id(periodic_20241113000775), chunk_id(periodic_20241113000775::main::P37::C1), report_id(periodic_20241113000775), chunk_id(periodic_20241113000775::main::P3::C2), report_id(periodic_20241113000775), chunk_id(periodic_20241113000775::main::P18::C25)",1,1,1,0,정답,1,1,1,,,1,2,0,,15.74
185,LG씨엔에스의 사업보고서 (2024.12)에서 기타비유동부채 알려줘,LG씨엔에스,"383,471",1,"LG씨엔에스의 2024년 12월 말 기준 기타비유동부채는 26,823,939천원입니다.  근거: report_id(periodic_20250311001270, chunk_id: periodic_20250311001270::main::P15::C2)",0,1,1,0,답변실패,1,1,1,,,2,3,0,,16.66
75,현대글로비스 비유동금융리스채권이(가) 어떻게 돼?,현대글로비스,"6,191,775",2,"현대글로비스의 비유동금융리스채권에 대한 정보는 다음과 같습니다:  1. **사업보고서 (2025-12)**      - 비유동 금융리스채권: 120,298천원    2. **분기보고서 (2026-03)**      - 비유동 금융리스채권: 6,672,894천원      - 비유동 금융리스채권: 6,586,684천원    3. **사업보고서 (2023-12)**      - 비유동 금융리스채권: 250,189천원      - 비유동 금융리스채권: 820,978천원    4. **연결감사보고서 (2025-12)**      - 비유동 금융리스채권 관련 정보 제공되지 않음    위의 정보를 종합하면, 현대글로비스의 비유동금융리스채권은 시기에 따라 다르게 나타납니다. 가장 최근 자료인 2025년 12월 사업보고서에 따르면 비유동 금융리스채권은 120,298천원으로 공시되었습니다. 그러나 이는 이전 분기의 6,672,894천원 및 6,586,684천원과는 큰 차이가 있으므로 주의가 필요합니다.    근거:   - report_id(periodic_20260318001205, chunk_id: P18::C35, P16::C69, P18::C111, P16::C175) ",0,1,1,0,답변실패,1,1,1,,,2,3,0,,27.06
151,"현대모비스 반기보고서 (2024.06) 기타변동에따른증가(감소),유형자산 얼마야?",현대모비스,"212,855",1,"현대모비스의 2024년 반기보고서에 따르면, 기타 변동에 따른 유형자산의 증감은 다음과 같습니다:  - 당반기: 212,855백만원 - 전반기: 53,546백만원  근거:  - [EVIDENCE 2], chunk_id: periodic_20240814003103::main::P16::C143 - [EVIDENCE 4], chunk_id: periodic_20240814003103::main::P18::C4",1,1,1,0,정답,1,1,1,,,2,3,0,,21.85
50,한미반도체의 단일판매ㆍ공급계약체결에서 계약금액 알려줘,한미반도체,"21,483,000,000",4,"한미반도체의 단일판매ㆍ공급계약체결에서 계약금액은 다음과 같습니다:  1. 2026년 1월 14일: 9,650,000,000원 2. 2025년 11월 17일: 1,567,500,000원 3. 2025년 5월 28일: 8,045,604,000원 4. 2025년 5월 16일: 42,812,000,000원 5. 2025년 1월 14일: 10,807,500,000원 6. 2024년 6월 7일: 149,919,000,000원 7. 2024년 4월 11일: 22,591,392,000원 8. 2024년 3월 22일: 21,483,000,000원 9. 2024년 2월 2일: 86,042,000,000원 10. 2023년 10월 4일: 59,617,800,000원  질문에 시점이 명시되지 않아 해당하는 공시를 모두 제시합니다.  근거: exchange_20260114800028, exchange_20251117800179, exchange_20250528800084, exchange_20250516800319, exchange_20250114800153, exchange_20240607800056, exchange_20240411800031, exchange_202403228",1,0,1,0,정답,1,1,1,,,1,2,0,,15.7
195,삼성중공업 인증일자이(가) 어떻게 돼?,삼성중공업,2020.04.14,1,"삼성중공업의 수출입안전관리우수업체(Authorized Economic Operator) 인증일자는 2020년 4월 14일입니다.   근거: periodic_20231114002370::main::P37::C1, periodic_20240814003886::main::P37::C1, periodic_20240516001939::main::P37::C1, periodic_20230814002585::main::P37::C1, periodic_20230515002381::main::P37::C1, periodic_20240315000850::main::P38::C1",0,1,1,0,답변실패,1,1,1,,"재생성 1회차 채택: 근거의 숫자를 다른 단위로 바꿔 쓰지 마세요. 근거에 적힌 표기를 글자 그대로 옮기세요. 문제가 된 표기: ['2023.08', '2023.11', '2024.05', '2024.08']",2,3,0,,25.09
112,삼성중공업 반기보고서 (2023.06) SC은행외6 얼마야?,삼성중공업,"1,000,622",2,"SC은행 외 6의 약정한도는 1,000,622백만 원입니다.  근거: report_id(periodic_20230814002585::main::P18::C27), report_id(periodic_20230814002585::main::P16::C25)",1,1,1,0,정답,1,1,1,,,1,2,0,,36.19
70,현대글로비스 [기재정정]사업보고서 (2023.12) 유동파생상품자산 얼마야?,현대글로비스,"12,824,638",2,,0,0,0,0,검색실패,0,0,0,,,0,0,0,"HCXError: HCX API 오류 429: {""status"":{""code"":""42901"",""message"":""Too many requests: rate exceeded. Check response headers for current limits and retry information.""},""result"":null}",50.38
63,SK하이닉스 이사회결의일이(가) 어떻게 돼?,SK하이닉스,2024-04-24,3,"SK하이닉스의 이사회 결의일에 대한 정보는 다음과 같이 확인되었습니다:  1. 2025년 5월 20일: 제5회 이사회에서 SK이노베이션(주)와의 거래 등이 가결됨. 2. 2025년 6월 25일: 제6회 이사회에서 SK(주)와의 거래 등이 가결됨. 3. 2025년 12월 24일: 추가적인 이사회 결의일로 기록되어 있음.  위의 정보는 다양한 공시 자료에서 확인되었으며, 각 이사회 결의일은 해당 공시일의 내용에 따라 달라집니다. 따라서, 가장 최근의 이사회 결의일은 2025년 12월 24일입니다.  근거: report_id(periodic_20250814003049, periodic_20240814001887, periodic_20260317000635).",0,0,0,0,검색실패,1,1,1,,,1,2,0,,15.52
188,LG씨엔에스의 사업보고서 (2024.12)에서 비지배주주지분 알려줘,LG씨엔에스,"2,409,324",1,"LG씨엔에스의 2024년 12월 사업보고서에 따르면 비지배주주지분은 402,008천원과 29,984천원 두 가지 값이 확인되었습니다.   먼저, 총포괄손익 부분에서는 비지배지분이 402,008천원으로 나타나며, 이는 지배기업의 소유주 합계와 별개로 계산된 금액입니다. 또한, 해외사업환산 부분에서도 비지배지분이 29,984천원으로 기록되어 있습니다. 이 역시 지배기업의 소유주와 분리된 별도의 항목으로 표시되어 있습니다.  두 값 모두 LG씨엔에스의 연결재무제표에서 비지배주주의 지분으로 분류되며, 각각의 항목에서 독립적으로 언급되고 있습니다. 따라서 사용자의 요청에 따라 제공된 정보를 기반으로 한 비지배주주지분은 각각 402,008천원과 29,984천원이라고 할 수 있습니다.  근거:  - report_id(periodic_20250311001270, chunk_id P15::C7) - report_id(periodic_20250311001270, chunk_id P15::C6)",0,1,1,0,답변실패,1,1,1,,,2,3,0,,20.89
20,시프트업의 분기보고서 (2025.09)에서 기타유동자산 알려줘,시프트업,"11,014,148",2,"시프트업의 분기보고서(2025.09)에서 기타유동자산의 금액은 다음과 같습니다:  - **현재 분기**: 11,014,148천 원   - **전기 말**: 7,131,733천 원    근거:  - 증거 2 (기타자산에 대한 공시 부분)에서는 현재 분기와 전기 말에 대한 기타유동자산의 금액이 각각 11,014,148천 원과 7,131,733천 원이라고 명시되어 있습니다.   - 증거 3과 증거 4에서도 동일한 정보가 확인되었습니다.    따라서, 시프트업의 분기보고서(2025.09)에서 기타유동자산은 현재 분기에 11,014,148천 원이고, 전기 말에 7,131,733천 원임을 알 수 있습니다.    근거: evidence_2 (periodic_20251113001036::main::P18::C9), evidence_3 (periodic_20251113001036::main::P17::C1), evidence_4 (periodic_20251113001036::main::P14::C1).",1,1,1,0,정답,1,1,1,,,2,3,0,,21.71
69,현대글로비스 이사회결의일이(가) 어떻게 돼?,현대글로비스,2024-04-25,2,"현대글로비스의 이사회 결의일은 다음과 같습니다.  1. 주요사항보고서(무상증자결정): 2024년 6월 28일 ([EVIDENCE] filing_date: ""20240628"") 2. 신규시설투자등: 2024년 4월 25일 ([EVIDENCE] filing_date: ""20240425"") 3. 신규시설투자등: 2023년 10월 26일 ([EVIDENCE] filing_date: ""20231026"")  질문에 시점이 명시되지 않아 해당하는 공시를 모두 제시합니다.  근거: major_20240628000319::main::C1, exchange_20240425800143::main::C1, exchange_20231026800363::main::C1",0,0,1,0,검색실패,1,1,1,,,1,2,0,,11.26
96,LG유플러스 예금및적금등이(가) 어떻게 돼?,LG유플러스,"559,554",2,"LG유플러스의 예금 및 적금 등의 정보는 다음과 같습니다:  1. 2023년 12월 말 기준:    - 예금 및 적금: 67,179천 원    - 기타 현금성자산: 6,467,979천 원    - 합계: 6,535,158천 원  2. 2024년 12월 말 기준:    - 예금 및 적금 등: 896,209백만 원  3. 2025년 12월 말 기준:    - 예금 및 적금: 188백만 원    - 기타 현금성자산: 13,265백만 원    - 합계: 13,453백만 원  이러한 정보는 각 기간별 사업보고서와 분기보고서, 반기보고서를 통해 확인할 수 있습니다.  근거:  - report_id(periodic_20240313001130, chunk_id: periodic_20240313001130::main::P24::C21) - report_id(periodic_20250317000701, chunk_id: periodic_20250317000701::main::P23::C20) - report_id(periodic_20260313000442, chunk_id: periodic_20260313000442::main::P26::C2)",0,1,1,0,답변실패,1,1,1,,"재생성 1회차 채택: 다음 숫자는 근거에서 확인되지 않습니다. 근거에 있는 값만 쓰거나, 계산한 값이라면 계산에 쓴 입력 수치를 답변에 함께 적으세요: ['350000']",1,2,0,,26.32
184,LG씨엔에스 사업보고서 (2024.12) 비유동금융부채 얼마야?,LG씨엔에스,"633,120",1,"제공된 근거로는 확인할 수 없습니다.   근거: report_id(periodic_20250311001270, chunk_id(main::P22::C1)), report_id(periodic_20250311001270, chunk_id(separate_audit_report::P3::C83)), report_id(periodic_20250311001270, chunk_id(main::P16::C102)), report_id(periodic_20250311001270, chunk_id(consolidated_audit_report::P3::C102)), report_id(periodic_20250311001270, chunk_id(main::P18::C83))",0,1,1,1,거부(근거있음),1,1,1,,,2,3,0,,18.23
38,LG씨엔에스의 주요사항보고서(유상증자결정)에서 영업양수자금 알려줘,LG씨엔에스,"330,000,000,000",1,"LG씨엔에스의 주요사항보고서(유상증자결정)에서 영업양수자금은 390,000,000,000원입니다.  근거: report_id(major_20250117000531), chunk_id(major_20250117000531::main::C1)",0,0,0,0,검색실패,1,1,1,,,1,2,0,,19.39
