id,query,company,doc_group,gold,n_gold,n_gold_docs,evidence_hit,answer_ceiling,context_recall,context_precision,context_ap,mrr,ndcg_at_10,first_gold_rank,label,elapsed_sec
25,한미반도체 주요사항보고서(자기주식취득신탁계약체결결정) 대통령령이정하는미실현이익 얼마야?,한미반도체,major,"211,505,740,503",1,1,1,1,1.0,0.015,1.0,1.0,1.0,1,상한도달,0.134
26,한미반도체의 주요사항보고서(자기주식취득신탁계약체결결정)에서 소계 알려줘,한미반도체,major,"304,789,633,428",1,1,1,1,1.0,0.02,0.5,0.5,0.6309,2,상한도달,0.177
27,한미반도체 직전사업연도말이후정기주주총회에서결의된이익배당금액및관련이익준비금이(가) 어떻게 돼?,한미반도체,major,"40,521,474,840",1,1,1,1,1.0,0.005,0.1429,0.1429,0.3333,7,상한도달,0.137
28,한미반도체 주요사항보고서(자기주식취득신탁계약체결결정) 신탁계약의계약금액 얼마야?,한미반도체,major,"90,000,000,000",1,1,1,1,1.0,0.02,1.0,1.0,1.0,1,상한도달,0.149
29,한미반도체의 주요사항보고서(자기주식취득신탁계약체결결정)에서 자기주식취득금액한도 알려줘,한미반도체,major,"174,268,158,588",1,1,1,1,1.0,0.02,1.0,1.0,1.0,1,상한도달,0.131
30,시프트업 순자산액이(가) 어떻게 돼?,시프트업,major,"764,404,135,605",1,2,1,1,0.5,0.005,0.0067,0.0133,0.0,75,상한도달,0.117
31,시프트업 주요사항보고서(자기주식취득신탁계약체결결정) 자본금의액 얼마야?,시프트업,major,"11,666,944,000",1,2,1,1,1.0,0.035,1.0,1.0,1.0,1,상한도달,0.132
32,시프트업의 주요사항보고서(자기주식취득신탁계약체결결정)에서 직전사업연도까지적립된자본준비금과이익준비금의합계액 알려줘,시프트업,major,"533,717,737,644",1,2,1,1,1.0,0.035,1.0,1.0,1.0,1,상한도달,0.142
33,시프트업 대통령령이정하는미실현이익이(가) 어떻게 돼?,시프트업,major,"15,854,824,921",1,2,1,1,1.0,0.015,0.7,1.0,0.8503,1,상한도달,0.115
34,시프트업 주요사항보고서(자기주식취득신탁계약체결결정) 소계 얼마야?,시프트업,major,"203,164,629,040",1,2,1,1,1.0,0.035,1.0,1.0,1.0,1,상한도달,0.135
35,현대글로비스의 주요사항보고서(무상증자결정)에서 보통주식 알려줘,현대글로비스,major,"37,500,000",1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.125
36,시프트업 직전사업연도말이후자기주식취득금액이(가) 어떻게 돼?,시프트업,major,"49,973,057,100",1,1,1,1,1.0,0.02,0.5,0.5,0.6309,2,상한도달,0.133
37,LG씨엔에스 주요사항보고서(유상증자결정) 시설자금 얼마야?,LG씨엔에스,major,"25,020,000,000",1,1,1,1,1.0,0.01,0.2,0.2,0.3869,5,상한도달,0.135
38,LG씨엔에스의 주요사항보고서(유상증자결정)에서 영업양수자금 알려줘,LG씨엔에스,major,"330,000,000,000",1,1,1,1,1.0,0.01,0.2,0.2,0.3869,5,상한도달,0.131
39,LG씨엔에스 채무상환자금이(가) 어떻게 돼?,LG씨엔에스,major,"160,000,000,000",1,1,0,1,0.0,0.0,0.0,0.0,0.0,0,상한도달,0.132
40,LG유플러스 주요사항보고서(자기주식취득신탁계약체결결정) 순자산액 얼마야?,LG유플러스,major,"8,628,357,729,873",1,1,1,1,1.0,0.02,1.0,1.0,1.0,1,상한도달,0.139
41,LG유플러스의 주요사항보고서(자기주식취득신탁계약체결결정)에서 자본금의액 알려줘,LG유플러스,major,"2,573,969,175,000",1,1,1,1,1.0,0.02,1.0,1.0,1.0,1,상한도달,0.134
42,LG유플러스 직전사업연도까지적립된자본준비금과이익준비금의합계액이(가) 어떻게 돼?,LG유플러스,major,"1,072,017,276,697",1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,검색실패,0.138
43,LG유플러스 주요사항보고서(자기주식취득신탁계약체결결정) 대통령령이정하는미실현이익 얼마야?,LG유플러스,major,"8,133,138,515",1,1,1,1,1.0,0.02,1.0,1.0,1.0,1,상한도달,0.138
44,LG유플러스의 주요사항보고서(자기주식취득신탁계약체결결정)에서 소계 알려줘,LG유플러스,major,"4,974,238,139,661",1,1,1,1,1.0,0.02,1.0,1.0,1.0,1,상한도달,0.13
45,LG유플러스 직전사업연도말이후정기주주총회에서결의된이익배당금액및관련이익준비금이(가) 어떻게 돼?,LG유플러스,major,"199,870,183,680",1,1,1,1,1.0,0.005,0.0357,0.0357,0.0,28,상한도달,0.134
46,LG유플러스 주요사항보고서(자기주식취득신탁계약체결결정) 직전사업연도말이후이사회에서결의된분기ㆍ중간배당금액및관련이익준비금 얼마야?,LG유플러스,major,"107,457,088,000",1,1,1,1,1.0,0.015,1.0,1.0,1.0,1,상한도달,0.147
47,LG유플러스의 주요사항보고서(자기주식취득신탁계약체결결정)에서 자기주식취득금액한도 알려줘,LG유플러스,major,"4,666,910,867,981",1,1,1,1,1.0,0.02,1.0,1.0,1.0,1,상한도달,0.143
48,한미반도체 시작일이(가) 어떻게 돼?,한미반도체,exchange,2025-08-01,4,4,1,1,1.0,0.02,0.0375,0.0588,0.0,17,상한도달,0.138
49,한미반도체 신규시설투자등(자율공시) 종료일 얼마야?,한미반도체,exchange,2026-11-30,4,4,1,1,0.75,0.015,0.4152,1.0,0.6437,1,상한도달,0.152
50,한미반도체의 단일판매ㆍ공급계약체결에서 계약금액 알려줘,한미반도체,exchange,"21,483,000,000",4,4,1,1,1.0,0.02,0.2419,0.25,0.1681,4,상한도달,0.127
51,현대글로비스 시작일이(가) 어떻게 돼?,현대글로비스,exchange,2022-01-01,4,4,1,1,1.0,0.02,0.089,0.25,0.1681,4,상한도달,0.122
52,현대글로비스 [기재정정]단일판매ㆍ공급계약체결 종료일 얼마야?,현대글로비스,exchange,2024-12-31,4,4,1,1,0.75,0.015,0.3021,0.3333,0.4865,3,상한도달,0.131
53,LG씨엔에스의 단일판매ㆍ공급계약체결에서 계약금액 알려줘,LG씨엔에스,exchange,"242,151,000,000",4,4,1,1,1.0,0.02,0.8167,1.0,0.9268,1,상한도달,0.136
54,LG씨엔에스 종료일이(가) 어떻게 돼?,LG씨엔에스,exchange,2026-12-31,4,5,1,1,1.0,0.025,1.0,1.0,1.0,1,상한도달,0.118
55,LG씨엔에스 단일판매ㆍ공급계약체결 계약(수주)일자 얼마야?,LG씨엔에스,exchange,2025-12-29,4,4,1,1,1.0,0.02,0.8875,1.0,0.9558,1,상한도달,0.138
56,디앤디파마텍의 투자판단관련주요경영사항(임상시험계획승인신청등결정) (대사이상지방간염 (MASH) 치료제 DD01의 제2상 미국 FDA 임상시험 계획 승인)에서 사실발생(확인)일 알려줘,디앤디파마텍,exchange,2024-06-08,4,4,1,1,1.0,0.03,0.7578,1.0,0.8319,1,상한도달,0.154
58,현대글로비스 [기재정정]단일판매ㆍ공급계약체결 최근매출액 얼마야?,현대글로비스,exchange,"16,519,884,633,100",3,3,1,1,1.0,0.015,0.7,1.0,0.8529,1,상한도달,0.139
59,현대글로비스의 [기재정정]단일판매ㆍ공급계약체결에서 계약(수주)일자 알려줘,현대글로비스,exchange,2021-12-28,3,3,1,1,1.0,0.015,0.7576,1.0,0.7654,1,상한도달,0.134
60,SK하이닉스 투자금액이(가) 어떻게 돼?,SK하이닉스,exchange,"5,296,200,000,000",3,3,1,1,1.0,0.015,0.2272,0.3333,0.3911,3,상한도달,0.149
61,SK하이닉스 신규시설투자등 시작일 얼마야?,SK하이닉스,exchange,2024-04-24,3,3,1,1,1.0,0.015,1.0,1.0,1.0,1,상한도달,0.126
62,SK하이닉스의 신규시설투자등에서 종료일 알려줘,SK하이닉스,exchange,2026-10-30,3,3,1,1,1.0,0.015,1.0,1.0,1.0,1,상한도달,0.11
63,SK하이닉스 이사회결의일이(가) 어떻게 돼?,SK하이닉스,exchange,2024-04-24,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0,검색실패,0.131
64,한미반도체 단일판매ㆍ공급계약체결 최근매출액 얼마야?,한미반도체,exchange,"327,592,058,714",2,4,1,1,1.0,0.02,0.2366,0.1667,0.2566,6,상한도달,0.124
65,현대글로비스의 [기재정정]단일판매ㆍ공급계약체결에서 정정일자 알려줘,현대글로비스,exchange,2025-01-17,2,2,1,1,1.0,0.01,0.75,1.0,0.8772,1,상한도달,0.122
66,현대글로비스 정정관련공시서류제출일이(가) 어떻게 돼?,현대글로비스,exchange,2021.12.28,2,2,1,1,1.0,0.01,0.3095,0.3333,0.511,3,상한도달,0.129
67,한미반도체 단일판매ㆍ공급계약체결(자율공시) 계약(수주)일 얼마야?,한미반도체,exchange,2023-06-22,2,2,1,1,1.0,0.01,0.325,0.25,0.5013,4,상한도달,0.137
68,삼성중공업의 단일판매ㆍ공급계약체결에서 최근매출액 알려줘,삼성중공업,exchange,"8,009,400,000,000",2,2,1,1,1.0,0.01,0.0495,0.0345,0.0,29,상한도달,0.127
69,현대글로비스 이사회결의일이(가) 어떻게 돼?,현대글로비스,exchange,2024-04-25,2,2,1,1,1.0,0.01,0.026,0.027,0.0,37,상한도달,0.119
70,SK하이닉스 신규시설투자등 자기자본 얼마야?,SK하이닉스,exchange,"53,503,752,397,611",2,3,1,1,1.0,0.015,1.0,1.0,1.0,1,상한도달,0.104
71,한미반도체의 신규시설투자등(자율공시)에서 투자금액 알려줘,한미반도체,exchange,"28,480,000,000",1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.211
72,한미반도체 자기자본이(가) 어떻게 돼?,한미반도체,exchange,"540,887,863,389",1,1,1,1,1.0,0.005,0.1667,0.1667,0.3562,6,상한도달,0.129
73,한미반도체 신규시설투자등(자율공시) 이사회결의일 얼마야?,한미반도체,exchange,2025-06-20,1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.141
74,한미반도체의 단일판매ㆍ공급계약체결에서 계약(수주)일자 알려줘,한미반도체,exchange,2024-03-21,1,1,1,1,1.0,0.005,0.1667,0.1667,0.3562,6,상한도달,0.138
75,디앤디파마텍 정정대상공시서류의최초제출일이(가) 어떻게 돼?,디앤디파마텍,holding,2025년 2월 10일,1,1,1,1,1.0,0.02,1.0,1.0,1.0,1,상한도달,0.138
76,시프트업 주요사항보고서(회사합병결정) 설립일자 얼마야?,시프트업,major,2020년 9월 25일,1,1,1,1,1.0,0.06,1.0,1.0,1.0,1,상한도달,0.143
77,"시프트업의 주요사항보고서(회사합병결정)에서 보통주10,000주 알려줘",시프트업,major,100.00%,1,1,1,1,1.0,0.06,1.0,1.0,1.0,1,상한도달,0.146
78,삼성중공업 정정일자이(가) 어떻게 돼?,삼성중공업,exchange,2024-04-08,1,1,1,1,1.0,0.005,0.0435,0.0435,0.0,23,상한도달,0.134
79,삼성중공업 [기재정정]단일판매ㆍ공급계약체결 정정관련공시서류제출일 얼마야?,삼성중공업,exchange,2024-01-02,1,1,1,1,1.0,0.005,0.125,0.125,0.3155,8,상한도달,0.143
80,디앤디파마텍의 투자판단관련주요경영사항(임상시험계획승인신청등결정) (대사이상지방간염 (MASH) 치료제 DD01의 제2상 미국 FDA 임상시험 계획 승인)에서 신청일 알려줘,디앤디파마텍,exchange,2024-05-09,1,3,1,1,1.0,0.025,0.9167,1.0,0.9675,1,상한도달,0.139
81,디앤디파마텍 승인일이(가) 어떻게 돼?,디앤디파마텍,exchange,2024-06-08,1,2,1,1,1.0,0.02,0.5161,1.0,0.6131,1,상한도달,0.109
82,디앤디파마텍 투자판단관련주요경영사항(임상시험계획승인신청등결정) (대사이상지방간염 (MASH) 치료제 DD01의 제2상 미국 FDA 임상시험 계획 승인) 예상종료일 얼마야?,디앤디파마텍,exchange,2026-06-30,1,1,1,1,1.0,0.01,1.0,1.0,1.0,1,상한도달,0.142
83,LG씨엔에스의 투자판단관련주요경영사항에서 이사회결의일(결정일)또는사실확인일 알려줘,LG씨엔에스,exchange,2025-11-26,1,1,1,1,1.0,0.005,0.5,0.5,0.6309,2,상한도달,0.127
84,현대글로비스 투자금액이(가) 어떻게 돼?,현대글로비스,exchange,"1,027,500,000,000",1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.114
85,현대글로비스 신규시설투자등 자기자본 얼마야?,현대글로비스,exchange,"7,783,923,620,253",1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.124
86,현대글로비스의 주요사항보고서(무상증자결정)에서 신주배정기준일 알려줘,현대글로비스,major,2024년 07월 15일,1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.139
87,현대글로비스 신주의배당기산일이(가) 어떻게 돼?,현대글로비스,major,2024년 01월 01일,1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.128
88,현대글로비스 주요사항보고서(무상증자결정) 신주의상장예정일 얼마야?,현대글로비스,major,2024년 08월 02일,1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.13
89,디앤디파마텍의 주요사항보고서(무상증자결정)에서 신주배정기준일 알려줘,디앤디파마텍,major,2025.11.14,1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.122
90,디앤디파마텍 신주의배당기산일이(가) 어떻게 돼?,디앤디파마텍,major,2025.01.01,1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.121
91,디앤디파마텍 주요사항보고서(무상증자결정) 신주의상장예정일 얼마야?,디앤디파마텍,major,2025.12.05,1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.124
92,디앤디파마텍의 주요사항보고서(무상증자결정)에서 이사회결의일 알려줘,디앤디파마텍,major,2025.10.29,1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.13
93,LG씨엔에스 유보기한이(가) 어떻게 돼?,LG씨엔에스,exchange,2029-04-04,1,1,1,1,1.0,0.005,0.0625,0.0625,0.0,16,상한도달,0.128
94,SK하이닉스 투자판단관련주요경영사항 이사회결의일(결정일)또는사실확인일 얼마야?,SK하이닉스,exchange,2024-12-19,1,1,1,1,1.0,0.005,0.25,0.25,0.4307,4,상한도달,0.126
95,LG유플러스의 신규시설투자등에서 투자금액 알려줘,LG유플러스,exchange,"615,600,000,000",1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.105
96,LG유플러스 자기자본이(가) 어떻게 돼?,LG유플러스,exchange,"8,768,379,152,088",1,1,1,1,1.0,0.005,0.0526,0.0526,0.0,19,상한도달,0.116
97,LG유플러스 신규시설투자등 시작일 얼마야?,LG유플러스,exchange,2025-05-07,1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.119
98,LG유플러스의 신규시설투자등에서 종료일 알려줘,LG유플러스,exchange,2027-05-25,1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.118
99,LG유플러스 이사회결의일이(가) 어떻게 돼?,LG유플러스,exchange,2025-04-29,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,검색실패,0.136
100,SK하이닉스 [기재정정]주요사항보고서(영업양수결정) 정정대상공시서류의최초제출일 얼마야?,SK하이닉스,major,2020년 10월 20일,1,2,1,1,1.0,0.01,0.75,1.0,0.8772,1,상한도달,0.14
101,디앤디파마텍의 투자판단관련주요경영사항 (DD02S 관련 마일스톤 기술료 수령)에서 결정일 알려줘,디앤디파마텍,exchange,2024-11-22,1,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.286
1,한미반도체 사업보고서 (2025.12) 자본총계 얼마야?,한미반도체,periodic,"690,327,520",2,1,1,1,1.0,0.135,0.3333,0.3333,0.5,3,상한도달,0.137
2,한미반도체의 사업보고서 (2025.12)에서 자산총계 알려줘,한미반도체,periodic,"813,331,626",2,1,1,1,1.0,0.12,0.3333,0.3333,0.5,3,상한도달,0.137
3,한미반도체 시장변수상승시당기손익증가이(가) 어떻게 돼?,한미반도체,periodic,"2,544,957",2,1,1,1,1.0,0.11,0.5,0.5,0.6309,2,상한도달,0.14
4,한미반도체 사업보고서 (2025.12) 예금잔액 얼마야?,한미반도체,periodic,"276,233,849",2,1,1,1,1.0,0.135,1.0,1.0,1.0,1,상한도달,0.131
5,한미반도체의 사업보고서 (2025.12)에서 현금및현금성자산합계 알려줘,한미반도체,periodic,"276,235,378",2,1,1,1,1.0,0.185,1.0,1.0,1.0,1,상한도달,0.126
6,한미반도체 기간동안비용으로인식한재고자산의원가이(가) 어떻게 돼?,한미반도체,periodic,"240,106",2,1,1,1,1.0,0.085,1.0,1.0,1.0,1,상한도달,0.141
7,한미반도체 사업보고서 (2025.12) 기타유동금융자산 얼마야?,한미반도체,periodic,"1,620,849",2,1,1,1,1.0,0.06,0.25,0.25,0.4307,4,상한도달,0.137
8,한미반도체의 사업보고서 (2025.12)에서 단기미수금 알려줘,한미반도체,periodic,"638,012",2,1,1,1,1.0,0.165,0.25,0.25,0.4307,4,상한도달,0.129
9,한미반도체 단기보증금이(가) 어떻게 돼?,한미반도체,periodic,"982,837",2,1,1,1,1.0,0.1,0.2,0.2,0.3869,5,상한도달,0.131
10,한미반도체 사업보고서 (2025.12) 기타비유동금융자산 얼마야?,한미반도체,periodic,"665,178",2,1,1,1,1.0,0.05,0.3333,0.3333,0.5,3,상한도달,0.131
11,한미반도체의 사업보고서 (2025.12)에서 장기보증금 알려줘,한미반도체,periodic,"665,178",2,1,1,1,1.0,0.085,0.3333,0.3333,0.5,3,상한도달,0.123
13,한미반도체 사업보고서 (2025.12) 유동선급비용 얼마야?,한미반도체,periodic,"633,170",2,1,1,1,1.0,0.07,0.0455,0.0455,0.0,22,상한도달,0.13
14,한미반도체의 사업보고서 (2025.12)에서 유동선급금 알려줘,한미반도체,periodic,"729,787",2,1,1,1,1.0,0.13,0.5,0.5,0.6309,2,상한도달,0.146
15,한미반도체 부가가치세대급금이(가) 어떻게 돼?,한미반도체,periodic,"1,294,380",2,1,1,1,1.0,0.095,0.25,0.25,0.4307,4,상한도달,0.123
16,한미반도체 사업보고서 (2025.12) 기타비유동자산 얼마야?,한미반도체,periodic,"624,830",2,1,1,1,1.0,0.065,1.0,1.0,1.0,1,상한도달,0.13
17,한미반도체의 사업보고서 (2025.12)에서 비유동선급금 알려줘,한미반도체,periodic,"624,830",2,1,1,1,1.0,0.11,0.1667,0.1667,0.3562,6,상한도달,0.133
18,한미반도체 투자부동산에서발생한임대수익이(가) 어떻게 돼?,한미반도체,periodic,"162,000",2,1,1,1,1.0,0.06,1.0,1.0,1.0,1,상한도달,0.133
19,시프트업 분기보고서 (2025.09) 예금잔액 얼마야?,시프트업,periodic,"131,965,669",2,1,1,1,1.0,0.17,0.5,0.5,0.6309,2,상한도달,0.136
20,시프트업의 분기보고서 (2025.09)에서 기타유동자산 알려줘,시프트업,periodic,"11,014,148",2,1,1,1,1.0,0.175,0.5,0.5,0.6309,2,상한도달,0.138
21,시프트업 유동선급비용이(가) 어떻게 돼?,시프트업,periodic,"8,747,904",2,1,1,1,1.0,0.065,0.2,0.2,0.3869,5,상한도달,0.119
22,시프트업 분기보고서 (2025.09) 사용권자산 얼마야?,시프트업,periodic,"9,137,596",2,1,1,1,1.0,0.165,1.0,1.0,1.0,1,상한도달,0.13
23,시프트업의 분기보고서 (2025.09)에서 리스부채 알려줘,시프트업,periodic,"9,238,839",2,1,1,1,1.0,0.185,1.0,1.0,1.0,1,상한도달,0.139
24,시프트업 유동리스부채이(가) 어떻게 돼?,시프트업,periodic,"2,713,253",2,1,1,1,1.0,0.04,0.1111,0.1111,0.301,9,상한도달,0.122
31,"한미반도체 사업보고서 (2025.12) 생활잡화,기타잡화,의류,기념품,도기,미술품등의도소매업 얼마야?",한미반도체,periodic,2025년 09월 17일,1,1,1,1,1.0,0.075,1.0,1.0,1.0,1,상한도달,0.142
32,한미반도체의 사업보고서 (2025.12)에서 위각호에관련된전자상거래업 알려줘,한미반도체,periodic,2025년 09월 17일,1,1,1,1,1.0,0.12,1.0,1.0,1.0,1,상한도달,0.307
33,한미반도체 위각호에관련된통신판매업이(가) 어떻게 돼?,한미반도체,periodic,2025년 09월 17일,1,1,1,1,1.0,0.245,1.0,1.0,1.0,1,상한도달,0.119
34,한미반도체 사업보고서 (2025.12) 보험가입금액 얼마야?,한미반도체,periodic,"106,961",1,1,1,1,1.0,0.105,1.0,1.0,1.0,1,상한도달,0.127
35,현대글로비스의 [기재정정]사업보고서 (2023.12)에서 기체연료및관련제품도매업 알려줘,현대글로비스,periodic,2021년 03월 24일,1,1,1,1,1.0,0.125,1.0,1.0,1.0,1,상한도달,0.14
36,현대글로비스 운송장비용가스충전업이(가) 어떻게 돼?,현대글로비스,periodic,2021년 03월 24일,1,1,1,1,1.0,0.1,0.1429,0.1429,0.3333,7,상한도달,0.112
37,"현대글로비스 [기재정정]사업보고서 (2023.12) 로봇의제조,수출입,유통,임대,유지보수및관련서비스업 얼마야?",현대글로비스,periodic,2021년 03월 24일,1,1,1,1,1.0,0.2,0.5,0.5,0.6309,2,상한도달,0.136
38,"현대글로비스의 [기재정정]사업보고서 (2023.12)에서 소프트웨어의자문,개발,공급,유지보수및관련서비스업 알려줘",현대글로비스,periodic,2021년 03월 24일,1,1,1,1,1.0,0.12,0.5,0.5,0.6309,2,상한도달,0.137
39,현대글로비스 수소·암모니아발전사업및탄소중립관련부대사업이(가) 어떻게 돼?,현대글로비스,periodic,2022년 03월 23일,1,1,1,1,1.0,0.075,0.3333,0.3333,0.5,3,상한도달,0.129
40,현대글로비스 [기재정정]사업보고서 (2023.12) 전기공사업 얼마야?,현대글로비스,periodic,2023년 03월 29일,1,1,1,1,1.0,0.165,0.25,0.25,0.4307,4,상한도달,0.132
41,현대글로비스의 [기재정정]사업보고서 (2023.12)에서 소방시설공사업 알려줘,현대글로비스,periodic,2023년 03월 29일,1,1,1,1,1.0,0.155,1.0,1.0,1.0,1,상한도달,0.133
42,LG유플러스 신용정보의이용및보호에관한법률에따른본인신용정보관리업및그겸영업무·부수업무추가이(가) 어떻게 돼?,LG유플러스,periodic,2023년 03월 17일,1,1,1,1,1.0,0.11,0.3333,0.3333,0.5,3,상한도달,0.147
43,"시프트업 분기보고서 (2025.09) 매입,공정가치측정,자산 얼마야?",시프트업,periodic,"73,135,089",1,1,1,1,1.0,0.175,1.0,1.0,1.0,1,상한도달,0.14
44,"시프트업의 분기보고서 (2025.09)에서 평가,공정가치측정,자산 알려줘",시프트업,periodic,"483,946",1,1,1,1,1.0,0.225,1.0,1.0,1.0,1,상한도달,0.137
46,시프트업 분기보고서 (2025.09) 기타포괄손익-공정가치측정비유동금융자산 얼마야?,시프트업,periodic,"13,636,809",1,1,1,1,1.0,0.11,1.0,1.0,1.0,1,상한도달,0.144
