test_id,source,type,grade,elapsed_sec,question,gold_answers,answer,think_trace
V1-S005,suite_v1,검색·정보추출,PASS,27.8,SK하이닉스의 신규시설투자등에 기재된 투자금액(원)은 얼마인가?,"5,296,200,000,000 | 9,411,500,000,000 | 21,608,100,000,000","SK하이닉스의 신규시설투자등에 기재된 투자금액은 다음과 같습니다:  1. 2026년 2월 25일 공시: 21,608,100,000,000원 2. 2024년 7월 26일 공시: 9,411,500,000,000원 3. 2024년 4월 24일 공시: 5,296,200,000,000원  근거: report_id(exchange_20260225801974), report_id(exchange_20240726800615), report_id(exchange_20240424800596)",stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['SK하이닉스'] 공시=['신규시설투자등'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 1개 근거 4건 | 게이트=answer(sufficient) | elapsed 27.7s
V1-S006,suite_v1,검색·정보추출,PASS,23.0,HMM의 주요사항보고서(자기주식취득결정)에 기재된 자본금의 액은 얼마인가?,"4,405,197,480,000","자본금의 액은 4,405,197,480,000원입니다.  근거: FACT [report_id: major_20250814003240]",stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['HMM'] 공시=['주요사항보고서(자기주식취득결정)'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 1개 근거 4건 | 게이트=answer(sufficient) | elapsed 23.0s
V1-S007,suite_v1,다중조회·비교·연산,PASS,62.4,"삼성전자와 한미반도체 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?","삼성전자 (삼성전자 22,764,764,160,000 vs 한미반도체 149,919,000,000)","삼성전자의 단일판매·공급계약 중 최대 계약금액은 22,764,764,160,000원이며, 한미반도체의 경우 최대 계약금액은 149,919,000,000원입니다. 따라서 최대 계약금액이 더 큰 기업은 삼성전자입니다.  근거: report_id(exchange_20250731800028), report_id(exchange_20240607800056)","stopped_at=answered | hcx=1회 | plan: closed/compare 회사=['삼성전자', '한미반도체'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=max 버전=latest_only | scope=in_scope | 하위질의 2개 근거 11건 | 게이트=answer(sufficient) | elapsed 62.4s"
V1-S008,suite_v1,다중조회·비교·연산,PASS,74.3,"LG에너지솔루션과 삼성SDI 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?","LG에너지솔루션 (LG에너지솔루션 9,603,075,000,000 vs 삼성SDI 437,429,850,083)","▶ LG에너지솔루션 계약금액 최대값: 9,603,075,000,000 [report_id: exchange_20251217800853] ▶ 삼성SDI 계약금액 최대값: 437,429,850,083 [report_id: exchange_20250314800002]  두 기업의 단일판매·공급계약 중 최대 계약금액은 LG에너지솔루션이 9,603,075,000,000원으로, 삼성SDI의 최대 계약금액인 437,429,850,083원보다 큽니다. 따라서 최대 계약금액이 더 큰 기업은 LG에너지솔루션입니다.  근거: report_id(exchange_20251217800853), report_id(exchange_20250314800002)","stopped_at=answered | hcx=1회 | plan: closed/compare 회사=['LG에너지솔루션', '삼성SDI'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=max 버전=latest_only | scope=in_scope | 하위질의 2개 근거 14건 | 게이트=answer(sufficient) | elapsed 74.3s"
V1-S010,suite_v1,다중조회·비교·연산,PASS,162.5,"HD현대중공업과 삼성중공업 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?","HD현대중공업 (HD현대중공업 5,251,100,000,000 vs 삼성중공업 4,571,600,000,000)","HD현대중공업의 단일판매·공급계약 중 최대 계약금액은 5,251,100,000,000원이며, 이는 2023년 10월 26일에 공시된 내용입니다.   삼성중공업의 단일판매·공급계약 중 최대 계약금액은 4,571,600,000,000원이며, 이는 2024년 4월 2일에 공시된 내용입니다.    따라서 최대 계약금액이 더 큰 기업은 HD현대중공업입니다.    근거: report_id(exchange_20231026800085), report_id(exchange_20240402800735)","stopped_at=answered | hcx=1회 | plan: closed/compare 회사=['HD현대중공업', '삼성중공업'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=max 버전=latest_only | scope=in_scope | 하위질의 2개 근거 20건 | 게이트=answer(sufficient) | elapsed 162.5s"
V1-S011,suite_v1,다중조회·비교·연산,PASS,115.1,"두산에너빌리티와 한전기술 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?","두산에너빌리티 (두산에너빌리티 4,928,968,079,043 vs 한전기술 1,250,850,298,678)","두산에너빌리티와 한전기술 각각의 단일판매·공급계약 중 최대 계약금액은 다음과 같습니다:  - 두산에너빌리티의 최대 계약금액: 4,928,968,079,043원 - 한전기술의 최대 계약금액: 1,250,850,298,678원  따라서 최대 계약금액이 더 큰 기업은 두산에너빌리티입니다.  근거:  - 두산에너빌리티 최대 계약금액: [report_id: exchange_20251216801147] - 한전기술 최대 계약금액: [report_id: exchange_20251212801320]","stopped_at=answered | hcx=1회 | plan: closed/compare 회사=['두산에너빌리티', '한전기술'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=max 버전=latest_only | scope=in_scope | 하위질의 2개 근거 20건 | 게이트=answer(sufficient) | elapsed 115.1s"
V1-S012,suite_v1,다중조회·비교·연산,PASS,180.9,"현대건설과 삼성E&A 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?","현대건설 (현대건설 4,390,170,544,000 vs 삼성E&A 2,897,903,803,942)","▶ 현대건설 계약금액 최대값: 4,390,170,544,000 [report_id: exchange_20250915800004] ▶ 삼성E&A 계약금액 최대값: 2,897,903,803,942 [report_id: exchange_20231006800347]  현대건설의 최대 계약금액은 4,390,170,544,000원이며, 삼성E&A의 최대 계약금액은 2,897,903,803,942원입니다. 따라서 최대 계약금액이 더 큰 기업은 현대건설입니다.  근거: FACT(report_id: exchange_20250915800004), FACT(report_id: exchange_20231006800347)","stopped_at=answered | hcx=1회 | plan: closed/compare 회사=['현대건설', '삼성E&A'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=max 버전=latest_only | scope=in_scope | 하위질의 2개 근거 20건 | 게이트=answer(sufficient) | elapsed 180.9s"
V1-S013,suite_v1,다중조회·비교·연산,PASS,60.5,"현대글로비스와 HMM 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?","현대글로비스 (현대글로비스 3,365,500,000,000 vs HMM 1,282,363,356,560)","현대글로비스의 단일판매·공급계약 중 최대 계약금액은 3,365,500,000,000원이며, HMM의 단일판매·공급계약 중 최대 계약금액은 1,282,363,356,560원입니다. 따라서 최대 계약금액이 더 큰 기업은 현대글로비스입니다.  근거:  - 현대글로비스 계약금액 최대값: 3,365,500,000,000 [report_id: exchange_20241231800103] - HMM 계약금액 최대값: 1,282,363,356,560 [report_id: exchange_20231027800429]","stopped_at=answered | hcx=1회 | plan: closed/compare 회사=['현대글로비스', 'HMM'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=max 버전=latest_only | scope=in_scope | 하위질의 2개 근거 19건 | 게이트=answer(sufficient) | elapsed 60.4s"
V1-S014,suite_v1,다중조회·비교·연산,PASS,176.0,"삼성바이오로직스와 셀트리온 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?","삼성바이오로직스 (삼성바이오로직스 2,074,694,843,000 vs 셀트리온 423,600,000,000)","삼성바이오로직스의 단일판매·공급계약 중 최대 계약금액은 2,074,694,843,000원이며, 이는 2025년 1월 14일에 공시된 내용입니다. 반면, 셀트리온의 단일판매·공급계약 중 최대 계약금액은 423,600,000,000원으로, 2023년 9월 25일에 공시된 내용입니다. 따라서 최대 계약금액이 더 큰 기업은 삼성바이오로직스입니다.  근거: report_id(exchange_20250114800022), report_id(exchange_20230925800006)","stopped_at=answered | hcx=1회 | plan: closed/compare 회사=['삼성바이오로직스', '셀트리온'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=max 버전=latest_only | scope=in_scope | 하위질의 2개 근거 20건 | 게이트=answer(sufficient) | elapsed 175.9s"
V1-S015,suite_v1,복합문서추론,PASS,93.3,LG에너지솔루션이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,예 (해지 공시 존재),"네, LG에너지솔루션이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다.   첫 번째 해지된 계약은 다음과 같습니다: - 계약상대: Ford Motor Company - 해지 주요 사유: 거래 상대방의 계약 해지 통보 - 해지 일자: 2025년 12월 17일 - 해지금액(원): 9,603,075,000,000 - 최근매출액(원): 33,745,469,740,463 - 매출액 대비(%): 28.5%  두 번째 해지된 계약은 다음과 같습니다: - 계약상대: Freudenberg Battery Power Systems, LLC - 해지 주요 사유: 계약상대의 배터리 사업 철수에 따른 상호 합의로 해지 - 해지 일자: 2025년 12월 26일 - 해지금액(원): 3,921,711,000,000 - 최근매출액(원): 33,745,469,740,463 - 매출액 대비(%): 11.6%  근거: exchange_20251217800800, exchange_20251226800706","stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['LG에너지솔루션'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 2개 근거 11건 | 게이트=answer(sufficient) | elapsed 93.3s"
V1-S016,suite_v1,복합문서추론,PASS,99.1,한미약품이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,예 (해지 공시 존재),"한미약품이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다.   해지된 계약은 ""(주)제넥신과의 코로나19 백신 위탁생산 계약해지 합의""입니다. 이 계약은 2021년 5월 18일에 체결되었으며, 2023년 2월 27일에 해지되었습니다. 해지금액은 23,419,586,850원이며, 최근매출액 대비 2.18%에 해당합니다. 해지 주요 사유는 계약상대방의 코로나19 백신(GX-19N) 개발 중단 결정입니다.  근거: exchange_20230227800485::main::C1","stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['한미약품'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 2개 근거 10건 | 게이트=answer(sufficient) | elapsed 99.0s"
V1-S017,suite_v1,복합문서추론,PASS,173.3,삼성중공업이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,예 (해지 공시 존재),"네, 삼성중공업이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다. 해지된 계약은 다음과 같습니다:  1. **블록 및 기자재 공급계약**    - 계약 상대: 유럽 지역 선주    - 계약 금액: 2,807,200,000,000원    - 해지 사유: 선주사의 위법한 계약해지    - 해지 일자: 2025-06-18  2. **쇄빙 LNG선 10척에 대한 블록 및 기자재 공급계약**    - 계약 상대: 유럽 지역 선주    - 계약 금액: 2,807,200,000,000원    - 해지 사유: 선주사의 위법한 계약해지    - 해지 일자: 2025-06-18  3. **쇄빙 셔틀탱커 7척에 대한 블록 및 기자재 공급계약**    - 계약 상대: 유라시아 지역 선주    - 계약 금액: 2,045,300,000,000원    - 해지 사유: 선주사의 위법한 계약해지    - 해지 일자: 2025-06-18  4. **원유운반선 1척 공급계약**    - 계약 상대: 오세아니아 지역 선주    - 계약 금액: 114,800,000,000원    - 해지 사유: 선주사의 계약 의무 불이행    - 해지 일자: 2026-03-14  근거: exchange_20250618800387, exchange_20250618800388, exchange_20260316801038","stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['삼성중공업'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 2개 근거 12건 | 게이트=answer(sufficient) | elapsed 173.3s"
V1-S018,suite_v1,복합문서추론,PASS,124.9,한전기술이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,예 (해지 공시 존재),"네, 한전기술이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다.   해지된 계약은 다음과 같습니다: - 계약명: 논산 바이오매스 발전사업 건설공사 - 해지금액: 81,895,000,000원 - 최근매출액 대비 비율: 18.97% - 계약상대방: 논산바이오에너지(주) - 해지 주요 사유: 발주처의 PF(Project Financing) 계약 불이행 - 해지 일자: 2024년 8월 26일  근거: exchange_20240826800108::main::C1","stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['한전기술'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 2개 근거 12건 | 게이트=answer(sufficient) | elapsed 124.8s"
V1-S019,suite_v1,복합문서추론,PASS,185.6,한국항공우주가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,예 (해지 공시 존재),"네, 한국항공우주는 체결한 단일판매·공급계약 중 하나가 해지되었습니다. 해지된 계약은 다음과 같습니다:  - **해지된 계약명**: 차세대 중형 민항기 주익 개발 및 공급 계약 - **해지 사유**: 계약상대방(Embraer)의 계약이행 불가에 따른 계약해지 - **해지 일자**: 2023년 9월 26일 - **해지금액**: 4,004,923,296,000원 - **최근 매출액 대비 비율**: 156.30% - **계약 상대방**: Embraer  이 정보는 한국항공우주의 [단일판매ㆍ공급계약 해지](https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230926800443) 공시에서 확인할 수 있습니다.  근거: exchange_20230926800443::main::C1","stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['한국항공우주'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 2개 근거 14건 | 게이트=answer(sufficient) | 검증경고: [근거 없는 숫자 의심] 답변에 있지만 근거에도 없고 검산으로도 설명되지 않는 숫자: ['001'] / [단위 재환산 의심] 근거 수치를 10의 거듭제곱으로 바꿔 쓴 것으로 보임: {'001': '1,000 x 10^-3'} | elapsed 185.6s"
V1-S020,suite_v1,복합문서추론,PASS,47.5,삼성전자가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가?,아니오 (해지 공시 없음),"아니오, 삼성전자가 체결한 단일판매·공급계약 중 이후 해지된 계약은 존재하지 않습니다.   근거: report_id(exchange_20250731800028)","stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['삼성전자'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 2개 근거 1건 | 게이트=answer(sufficient) | elapsed 47.5s"
V1-S021,suite_v1,복합문서추론,PASS,70.0,한미반도체가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가?,아니오 (해지 공시 없음),"아니오. 한미반도체의 공시 60건 전체를 확인한 결과, 단일판매공급계약체결과 관련된 공시는 있으나 단일판매공급계약해지와 관련된 공시는 없었습니다. 따라서 한미반도체가 체결한 단일판매·공급계약 중 이후 해지된 계약은 존재하지 않습니다.  근거: [전수 확인]","stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['한미반도체'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 2개 근거 14건 | 게이트=answer(sufficient) | 검증경고: 답변에 근거(report_id/chunk_id) 인용이 없음 | elapsed 70.0s"
V1-S022,suite_v1,복합문서추론,PASS,53.1,현대오토에버가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가?,아니오 (해지 공시 없음),"아니오, 현대오토에버가 체결한 단일판매·공급계약 중 이후 해지된 계약은 존재하지 않습니다.  근거: [전수 확인]","stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['현대오토에버'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 2개 근거 4건 | 게이트=answer(sufficient) | 검증경고: 답변에 근거(report_id/chunk_id) 인용이 없음 | elapsed 53.1s"
V1-S023,suite_v1,복합문서추론,REVIEW,98.0,삼성E&A의 단일판매ㆍ공급계약체결 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,"정정 내역이 있습니다.   다음은 삼성E&A의 단일판매ㆍ공급계약체결 공시 중 일부 정정된 사례들입니다:  1. **BAPCO Modernization Program(BMP)**      - 최초 공시일: 2022년 10월 7일      - 정정 사유: 계약금액, 종료일 변경      - 정정 사항:        - 계약금액: 1,534,730,639,454원에서 1,719,659,644,816원으로 변경        - 매출액 대비 비율: 21.90%에서 24.53%로 변경        - 종료일: 2024년 6월 25일에서 2025년 10월 26일로 변경    2. **기흥 신규 연구라인 (구 용역동 부지)UT동/그린동 골조공사**      - 최초 공시일: 2023년 9월 18일      - 정정 사유: 계약기간 변경      - 정정 사항:        - 종료일이 2025년 9월 30일에서 미정으로 변경됨    3. **Crude Flexibility Project**      - 최초 공시일: 2022년 8월 11일      - 정정 사유: 계약 종료일 변경      - 정정 사항:        - 종료일이 2023년 10월 27일에서 2024년 3월 30일로 변경됨    4. **평택 V2L 상층 Ph3 하층 설계 및 마감공사**      - 최초 공시일: 2021년 7월 23일      - 정정 사유: 계약금액 변경      - 정정 사항:        - 계약금액이 415,990,300,000원에서 462,660,000,000원으로 변경됨        - 매출액 대비 비율이 6.16%에서 6.86%로 변경됨    위의 사례들은 삼성E&A의 단일판매ㆍ공급계약체결 공시가 정정된 몇 가지 예시입니다. 각 사례에서는 계약금액, 종료일 등의 정보가 변경되었음을 확인할 수 있습니다. 이러한 정보는 투자자들에게 중요한 투자 판단 자료가 되므로 주의 깊게 살펴보는 것이 좋습니다.  근거: evidence_1, evidence_2, evidence_3, evidence_4, evidence_5, evidence_6, evidence_7",stopped_at=answered | hcx=1회 | plan: mixed/correction_diff 회사=['삼성E&A'] 공시=['단일판매공급계약체결'] 집계=none 버전=first_and_final | scope=in_scope | 하위질의 1개 근거 21건 | 게이트=answer(sufficient) | 검증경고: 답변에 근거(report_id/chunk_id) 인용이 없음 / 정정 분석 질문인데 원본/정정본 근거가 모두 확보되지 않음 (정정 체인 재검색 필요할 수 있음) | elapsed 98.0s
V1-S024,suite_v1,복합문서추론,REVIEW,104.8,현대건설의 단일판매ㆍ공급계약체결 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,"정정 내역이 있습니다. 아래는 현대건설의 단일판매ㆍ공급계약체결 공시가 정정된 사례들입니다:  1. **대조제1구역 주택재개발정비사업**    - 최초 공시: 2022년 7월 29일    - 정정 사유: 계약 금액 및 기간 변경    - 최초 계약금액: 580,653,479,709원 → 정정 후 계약금액: 837,286,000,000원    - 최초 매출액 대비 비율: 3.21% → 정정 후 매출액 대비 비율: 4.63%    - 최초 계약 기간: 2022년 10월 17일부터 2026년 10월 31일까지  2. **광명제11R구역 주택재개발정비사업**    - 최초 공시: 2021년 6월 1일    - 정정 사유: 변경계약 체결(공사금액, 공사기간)    - 최초 계약금액: 497,052,750,159원 → 정정 후 계약금액: 920,797,500,000원    - 최초 매출액 대비 비율: 2.93% → 정정 후 매출액 대비 비율: 5.43%  3. **사우디 아미랄 (Amiral) 프로젝트 PKG #1,4**    - 최초 공시: 2023년 6월 13일    - 정정 사유: 계약금액 변경    - 최초 계약금액: 3,072,243,348,055원 → 정정 후 계약금액: 3,089,421,749,344원    - 최초 매출액 대비 비율: 14.46% → 정정 후 매출액 대비 비율: 14.55%  4. **필리핀 South Commuter Railway Project 공사(PKG CP S-06)**    - 최초 공시: 2022년 10월 7일    - 정정 사유: 계약금액 및 공기 반영    - 최초 계약금액: 590,708,770,444원 → 정정 후 계약금액: 647,491,900,677원    - 최초 매출액 대비 비율: 3.27% → 정정 후 매출액 대비 비율: 3.58%  5. **반포주공1단지(1,2,4주구) 주택재건축정비사업**    - 최초 공시: 2017년 9월 29일    - 정정 사유: 계약금액 및 기간 변경    - 최초 계약금액: 2,636,303,000,000원 → 정정 후 계약금액: 3,931,885,000,000원    - 최초 매출액 대비 비율: 14.00% → 정정 후 매출액 대비 비율: 20.89%  6. **사우디 Marjan Increment Program PKG #12 (Flare and Piperack)**    - 최초 공시: 2019년 6월 27일    - 정정 사유: 계약금액 변경    - 최초 계약금액: 1,457,049,721,180원 → 정정 후 계약금액: 1,481,561,966,798원    - 최초 매출액 대비 비율: 8.86% → 정정 후 매출액 대비 비율: 8.86%  이상으로 현대건설의 단일판매ㆍ공급계약체결 공시가 정정된 사례들을 정리하였습니다. 각 사례에서는 계약금액, 매출액 대비 비율, 계약 기간 등이 변경되었음을 확인할 수 있습니다.  근거: EVIDENCE 1, EVIDENCE 2, EVIDENCE 3, EVIDENCE 4, EVIDENCE 5, EVIDENCE 6",stopped_at=answered | hcx=1회 | plan: mixed/correction_diff 회사=['현대건설'] 공시=['단일판매공급계약체결'] 집계=none 버전=first_and_final | scope=in_scope | 하위질의 1개 근거 16건 | 게이트=answer(sufficient) | 검증경고: 답변에 근거(report_id/chunk_id) 인용이 없음 / 정정 분석 질문인데 원본/정정본 근거가 모두 확보되지 않음 (정정 체인 재검색 필요할 수 있음) | elapsed 104.7s
