id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec
S011,"두산에너빌리티와 한전기술 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"두산에너빌리티 (두산에너빌리티 4,928,968,079,043 vs 한전기술 1,250,850,298,678)",1,"두산에너빌리티의 단일판매·공급계약 중 최대 계약금액은 4,928,968,079,043원이고, 한전기술의 단일판매·공급계약 중 최대 계약금액은 1,250,850,298,678원입니다. 따라서 최대 계약금액이 더 큰 기업은 두산에너빌리티입니다.  근거: report_id(exchange_20251216801147), report_id(exchange_20251212801320)",0,0,1,compare,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,34.36
S012,"현대건설과 삼성E&A 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대건설 (현대건설 4,390,170,544,000 vs 삼성E&A 2,897,903,803,942)",1,"▶ 현대건설 계약금액 최대값: 4,390,170,544,000   ▶ 삼성E&A 계약금액 최대값: 2,897,903,803,942    현대건설의 최대 계약금액은 4,390,170,544,000원이고, 삼성E&A의 최대 계약금액은 2,897,903,803,942원입니다. 따라서 더 큰 계약금액을 가진 기업은 현대건설입니다.   근거: [report_id: exchange_20250915800004], [report_id: exchange_20231006800347]",0,0,1,compare,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,0,0,0,정답,1,1,1,,answered,1,0,none,closed,compare,,10.88
S013,"현대글로비스와 HMM 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대글로비스 (현대글로비스 3,365,500,000,000 vs HMM 1,282,363,356,560)",1,"현대글로비스의 단일판매·공급계약 중 최대 계약금액은 3,365,500,000,000원이고, HMM의 단일판매·공급계약 중 최대 계약금액은 1,282,363,356,560원입니다. 따라서 최대 계약금액이 더 큰 기업은 현대글로비스입니다.  근거:  - 현대글로비스 계약금액 최대값: 3,365,500,000,000 [report_id: exchange_20241231800103] - HMM 계약금액 최대값: 1,282,363,356,560 [report_id: exchange_20231027800429]",0,0,1,compare,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,26.66
S014,"삼성바이오로직스와 셀트리온 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"삼성바이오로직스 (삼성바이오로직스 2,074,694,843,000 vs 셀트리온 423,600,000,000)",1,"삼성바이오로직스의 단일판매·공급계약 중 최대 계약금액은 2,074,694,843,000원이고, 셀트리온의 단일판매·공급계약 중 최대 계약금액은 423,600,000,000원입니다. 따라서 더 큰 계약금액을 가진 기업은 삼성바이오로직스입니다.  근거: report_id(exchange_20250114800022), report_id(exchange_20230925800006)",0,0,1,compare,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,11.16
S015,LG에너지솔루션이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"네, LG에너지솔루션이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다. 해지된 계약은 다음과 같습니다:  1. **Ford Motor Company와의 전기차 배터리 공급계약**    - 해지금액: 9,603,075,000,000원    - 해지 주요 사유: 거래 상대방의 계약 해지 통보    - 해지 일자: 2025년 12월 17일  2. **Freudenberg Battery Power Systems, LLC와의 전기차 배터리 공급계약**    - 해지금액: 3,921,711,000,000원    - 해지 주요 사유: 계약상대의 배터리 사업 철수로 상호 합의에 의한 계약 해지    - 해지 일자: 2025년 12월 26일  근거: exchange_20251217800800::main::C1, exchange_20251226800706::main::C1, exchange_20251217800853::main::C1, exchange_20251226800767::main::C2",0,0,1,yes_no,0,0,0,0,,,1.0,0.5,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,21.29
S016,한미약품이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"한미약품이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다. 해지된 계약은 ""(주)제넥신과의 코로나19 백신 위탁생산 계약해지 합의""입니다.   해지된 계약의 상세 정보는 다음과 같습니다: - 해지금액: 23,419,586,850원 - 최근매출액: 1,075,853,605,008원 - 매출액대비: 2.18% - 계약상대: 주식회사 제넥신 - 계약기간: 2021-05-18부터 2023-02-27까지 - 해지 주요 사유: 계약상대방의 코로나19 백신(GX-19N) 개발 중단 결정 - 해지일자: 2023-02-27  근거: report_id(exchange_20230227800485), chunk_id(exchange_20230227800485::main::C1)",0,0,1,yes_no,0,0,0,0,,,1.0,1.0,,3,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,18.23
S017,삼성중공업이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"삼성중공업이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다. 다음은 해지된 계약들입니다:  1. **블록 및 기자재 공급계약**    - 해지금액: 2,807,200,000,000원    - 계약상대: 유럽 지역 선주    - 계약기간: 2020-11-20 ~     - 해지일자: 2025-06-18    - 해지 주요사유: 선주사의 위법한 계약해지    - 관련공시: [exchange_20250618800388](https://dart.fss.or.kr/dsaf001/main.do?cn=20250618800388)  2. **블록, 기자재 및 설계 공급계약**    - 해지금액: 2,045,300,000,000원    - 계약상대: 유라시아 지역 선주    - 계약기간: 2021-10-15 ~     - 해지일자: 2025-06-18    - 해지 주요사유: 선주사의 위법한 계약해지    - 관련공시: [exchange_20250618800387](https://dart.fss.or.kr/dsaf001/main.do?cn=20250618800387)  3. **원유운반선 1척 공급계약**    - 해지금액: 114,800,000,000원    ",0,0,1,yes_no,0,0,0,0,,,1.0,1.0,,7,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,14.97
S018,한전기술이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"네, 한전기술이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다. 해지된 계약은 다음과 같습니다:  1. **논산 바이오매스 발전사업 건설공사**    - 해지금액: 81,895,000,000원    - 최근매출액 대비 비율: 18.97%    - 계약상대방: 논산바이오에너지(주)    - 해지 주요 사유: 발주처의 PF(Project Financing) 계약 불이행    - 해지일자: 2024-08-26  근거: exchange_20240826800108::main::C1",0,0,1,yes_no,0,0,0,0,,,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,29.28
S019,한국항공우주가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"네, 한국항공우주는 체결한 단일판매·공급계약 중 해지된 계약이 존재합니다. 해지된 계약은 다음과 같습니다:  1. **차세대 중형 민항기 주익 개발 및 공급 계약**    - 해지금액: 4,004,923,296,000원    - 최근매출액 대비 비율: 156.30%    - 계약상대: Embraer    - 계약기간: 2022-12-19 ~ 2046-12-31    - 해지 주요 사유: 계약상대방의 계약이행 불가에 따른 계약해지    - 해지일자: 2023-09-26     해당 계약은 2022년 12월 20일에 처음 공시되었으며, 2023년 9월 26일에 해지되었습니다.   근거: report_id(exchange_20230926800443), chunk_id(exchange_20230926800443::main::C1)",0,0,1,yes_no,0,0,0,0,,,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,11.56
S020,삼성전자가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가?,,?,아니오 (해지 공시 없음),1,해당 사항 없음  근거: report_id(exchange_20250731800028),0,0,1,yes_no,0,0,0,0,,,0.5,1.0,,0,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,20.8
S021,한미반도체가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가?,,?,아니오 (해지 공시 없음),1,"제공된 근거로는 한미반도체가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는지 여부를 확인할 수 없습니다.  근거: exchange_20230901800003, exchange_20230530800118, exchange_20240411800031, exchange_20250528800084, exchange_20250114800153, exchange_20240322800090, exchange_20240202800122, exchange_20231004800078, exchange_20240607800056, exchange_20250516800319, exchange_20260114800028, exchange_20230612800469, exchange_20230612800470, exchange_20230622800158",0,0,0,yes_no,0,0,0,0,,,1.0,0.1429,,0,0,1,1,1,거부(근거있음),1,1,1,,answered,1,0,none,closed,lookup,,17.19
S022,현대오토에버가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가?,,?,아니오 (해지 공시 없음),1,"제공된 근거로는 확인할 수 없습니다.  근거: report_id(exchange_20250731800497, exchange_20241203800532, exchange_20251128800125, exchange_20231115800491)",0,0,0,yes_no,0,0,0,0,,,1.0,0.5,,0,0,1,1,1,거부(근거있음),1,1,1,,answered,1,0,none,closed,lookup,,13.14
S023,삼성E&A의 단일판매ㆍ공급계약체결 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,?,,0,"정정 내역이 있습니다. 증거 1번, 2번, 3번, 4번, 5번, 6번, 7번, 8번에 따라 다음과 같이 정정되었습니다:  1. 계약금액(원):    - 증거 1번: 1,534,730,639,454 → 1,719,659,644,816    - 증거 4번: 389,193,200,000 → 466,193,200,000    - 증거 6번: 415,990,300,000 → 462,660,000,000    - 증거 7번: 935,000,000,000 → 1,011,120,000,000    - 증거 8번: 694,959,466,217 → 697,308,574,820  2. 매출액대비(%):    - 증거 1번: 21.90% → 24.53%    - 증거 4번: 5.77% → 6.91%    - 증거 6번: 6.16% → 6.86%    - 증거 7번: 12.49% → 13.51%    - 증거 8번: 9.28% → 9.31%  3. 종료일:    - 증거 1번: 2024-06-25 → 2025-10-26    - 증거 2번: 2025-09-30 → (협의 중)    - 증거 3번: 2026-01-29 → 2026-07-29     4. 기타 사항:    - 증거 2",0,0,0,open,11,0,0,11,0.0,1.0,0.0,,계약(수주)일자 / 계약금액 / 계약상대 / 대규모법인여부 / 매출액대비 / 시작일 / 종료일 / 체결계약명 / 최근매출액 / 판매공급계약구분 / 판매공급지역,20,0,1,0,0,답변실패,1,0,0,,answered,1,0,none,mixed,correction_diff,,12.57
S024,현대건설의 단일판매ㆍ공급계약체결 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,?,,0,"정정 내역이 있습니다. 현대건설의 단일판매ㆍ공급계약체결 공시가 여러 차례 정정되었습니다. 아래는 각 정정 사항에 대한 요약입니다.  ### 1. 첫 번째 정정 사례 - **정정 일자**: 2025-04-24 - **정정 사유**: 계약 금액 및 기간 변경 - **변경된 항목**:   - 계약 금액: 580,653,479,709원에서 837,286,000,000원으로 변경됨   - 매출액 대비 비율: 3.21%에서 4.63%로 변경됨   - 계약 기간: 시작일 2022-10-17, 종료일 2026-10-31로 설정됨  ### 2. 두 번째 정정 사례 - **정정 일자**: 2025-04-14 - **정정 사유**: 변경계약 체결(공사금액, 공사기간) - **변경된 항목**:   - 계약 금액: 497,052,750,159원에서 920,797,500,000원으로 변경됨   - 매출액 대비 비율: 2.93%에서 5.43%로 변경됨   - 계약 기간: 실착공일 이후 40개월에서 46개월로 변경됨  ### 3. 세 번째 정정 사례 - **정정 일자**: 2025-09-29 - **정정 사유**: 계약금액 변경 - **변경된 항목**:   - 계약 금액: 3,072,2",0,0,0,open,11,4,0,7,0.3636,0.6364,0.0667,0.1667,계약(수주)일자 / 계약상대 / 대규모법인여부 / 체결계약명 / 최근매출액 / 판매공급계약구분 / 판매공급지역,22,0,1,1,0,답변실패,1,1,0,,answered,1,0,none,mixed,correction_diff,,17.64
S025,두산로보틱스의 주요사항보고서 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,?,,0,"정정 내역이 있습니다. 주요사항보고서(회사합병 결정)의 최초 공시일은 2024년 7월 11일이었으며, 이후 여러 차례의 정정을 거쳤습니다. 각 정정 사항을 요약하면 다음과 같습니다:  1. **2024년 7월 15일 첫 번째 정정**:      - **변경 전**: 향후 회사구조개편에 관한 계획 부분에서 구체적인 합병 계획이 언급되지 않았습니다.      - **변경 후**: 두산로보틱스와 두산밥캣의 신속한 합병 계획을 명확히 하고, 협동로봇 사업부문과 건설기계 사업부문의 통합을 완성하겠다는 내용이 추가되었습니다.    2. **2024년 8월 29일 두 번째 정정**:      - **변경 전**: 두산밥캣과의 주식교환계약 체결 사실만 언급되었습니다.      - **변경 후**: 두산밥캣과의 주식교환계약을 해제하기로 한 내용을 추가하였습니다.    3. **2024년 12월 10일 여덟 번째 정정**:      - **변경 전**: 초기에는 두산에너빌리티의 투자사업부문을 분할하여 흡수합병하려는 계획이 포함되어 있었습니다.      - **변경 후**: 외부 이슈로 인해 주식시장 혼란이 발생하고 주가가 급락함에 따라, 두산에너빌리티와의 분할합병 계약을 해제",0,0,0,open,0,0,0,0,,,0.1538,1.0,,0,0,1,1,0,답변실패,1,1,0,,answered,1,0,none,mixed,correction_diff,,11.13
S026,한화에어로스페이스의 주요사항보고서 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,?,,0,"정정 내역이 있습니다. 한화에어로스페이스의 주요사항보고서(유상증자결정)는 총 두 번의 정정을 거쳤습니다.  ### 첫 번째 정정 (2025년 03월 26일) - **공정거래위원회 신고대상 여부**: 정 정 전에는 '미해당', 정 정 후에는 '해당' - **기타 투자판단에 참고할 사항**: 정 정 전에는 '청약의 방법 및 청약의 장소 등 기타 유상증자에 대한 자세한 사항은 2025년 03월 20일 제출할 예정인 증권신고서 및 예비투자설명서를 참고하시기 바랍니다.'였으나, 정 정 후에는 '청약의 방법 및 청약의 장소 등 기타 유상증자에 대한 자세한 사항은 2025년 03월 20일 최초 제출한 증권신고서 및 예비투자설명서를 참고하시기 바랍니다.'  ### 두 번째 정정 (2025년 06월 27일) - **신주 발행가액**: 정 정 전에는 '확정발행가 보통주식 (원) 684,000, 예정발행가 보통주식 (원) -'이었으나, 정 정 후에는 '확정발행가 보통주식 (원) 684,000, 예정발행가 보통주식 (원) -' - **신주의 배정방법**: 정 정 전에는 '신주배정기준일(2025년 05월 23일 예정) 18시 현재 주주명부에 등재된 주주에게 본 주식을 1주당 0.0",0,0,0,open,0,0,0,0,,,0.2,1.0,,2,0,1,1,0,답변실패,1,1,0,,answered,1,0,none,mixed,correction_diff,,14.33
S027,삼성전자의 2024년 사업보고서와 2026년 사업보고서를 비교했을 때 핵심 사업과 주요 재무지표가 어떻게 변화했는지 설명해줘.,,?,,0,"### 2024년 사업보고서 vs 2026년 사업보고서 비교  #### 1. 핵심 사업 변화 - **2024년**: 다양한 제품 라인업에 AI 기술을 접목하여 Galaxy S24 시리즈, Galaxy Z 폴드6와 Galaxy Z 플립6 출시. 반도체 사업은 HBM과 DDR5 등 고부가가치 제품 수요에 적극 대응. - **2026년**: 해당 정보 없음.  #### 2. 주요 재무지표 변화 | 지표 | 2024년 | 2026년 | | --- | --- | --- | | 연결기준 매출 | 301조원 | - | | 연결기준 영업이익 | 33조원 | - | | 별도기준 매출 | 209조원 | - | | 별도기준 영업이익 | 12조원 | - |  #### 3. 세부 재무상태 및 영업실적 - **유동자산**:     - 2024년: 227,062,266백만원     - 2025년: 해당 정보 없음    - **비유동자산**:     - 2024년: 287,469,682백만원     - 2025년: 해당 정보 없음    - **부채총계**:     - 2024년: 112,339,878백만원     - 2025년: 해당 정보 없음    - **자기자본 총계**:     -",0,0,0,open,0,0,0,0,,,0.0,0.0,,8,0,0,0,0,검색실패,1,1,1,,answered,1,0,none,open,compare,,17.4
S028,SK하이닉스의 2024년 사업보고서와 2026년 사업보고서를 비교했을 때 핵심 사업과 주요 재무지표가 어떻게 변화했는지 설명해줘.,,?,,0,"### 핵심 사업 변화 1. **HBM 중심의 수요 증가**: 2025년에 생성형 AI 서비스의 고도화와 온디바이스 AI 상용화로 인해 고성능/고용량 메모리(HBM) 중심의 수요가 크게 증가했습니다. 이로 인해 매출이 $1,432억(+56.0%) 성장했습니다.     2. **NAND 플래시 시장 동향**:    - 2021년: 고용량 스마트폰 출시에 따른 수요 증가로 $659억(+24.0%) 성장.    - 2022년: 거시경제 악화로 $579억(-12.4%) 역성장.    - 2023년: 대내외 불확실성과 수요 약세로 $371억(-35.9%) 하락.    - 2024년: 공급 제약과 수요 회복으로 $634억(+71.0%) 성장.    - 2025년: 업계 공급 제약과 AI 향 데이터센터 중심의 수요 확대로 $681억(+7.0%) 성장세 유지.  3. **DRAM 시장 동향**:    - AI, 데이터센터, 자동차 등으로 수요처가 다변화되며 경기 변동성이 약화됨.    - 생성형 AI 확산에 따른 HBM 수요 급증.  ### 주요 재무지표 변화 1. **영업이익**:    - 2025년 1분기: $7.44억 → 2025년 4분기: $19.17억 (+186.",0,0,0,open,0,0,0,0,,,0.0,0.0,,22,0,0,0,0,검색실패,0,1,0,17.64 / 186.2 / 19.17 / 32.83 / 37.61,answered,1,0,none,open,compare,,15.65
S029,한미반도체의 2024년 사업보고서와 2026년 사업보고서를 비교했을 때 핵심 사업과 주요 재무지표가 어떻게 변화했는지 설명해줘.,,?,,0,"### 2024년 사업보고서 vs 2026년 사업보고서 비교  #### 핵심 사업 변화 1. **핵심 사업**:      - 2024년에는 AI 산업의 발전으로 인한 HBM 수요 증가가 핵심 사업이었습니다. TC본더 장비의 수주가 크게 증가하였으며, 이를 기반으로 글로벌 No.1 자리를 차지했습니다.      - 2026년에는 여전히 HBM 관련 수요가 지속되었으며, 추가적으로 TSMC의 AI 패키지 분야인 CoWoS 시장에 대응하기 위한 2.5D용 빅다이 본더(TC본더 CW) 공급 계획을 세웠습니다.    #### 주요 재무지표 변화 1. **재무지표 (2024년)**:      - 매출액: 5,589억원      - 영업이익: 2,554억원 (영업이익률 45.7%)      - 당기순이익: 1,526억원       2. **재무지표 (2026년 1분기)**:      - 반도체 장비 부문 매출:        - 수출: 45,772백만원 (2026년 1분기)        - 내수: 5,130백만원 (2026년 1분기)        - 합계: 50,902백만원 (2026년 1분기)    #### 결론 - **핵심 사업 측면**: 2024년의 HBM 중심의 T",0,0,0,open,0,0,0,0,,,0.0,0.0,,12,0,0,0,0,검색실패,0,1,0,001,answered,1,0,none,open,compare,,16.0
S030,디앤디파마텍이 2025년에 실시한 자금조달 내역을 유형별로 정리해줘.,,?,,0,"디앤디파마텍의 2025년 자금조달 내역을 유형별로 정리하면 다음과 같습니다:  ### 공모자금 - **코스닥시장 상장공모**:    - **납입일**: 2024년 4월 26일   - **사용용도**: 임상개발, 연구개발시설자금, 운영자금   - **조달금액**: 37,300백만 원   - **실제 자금사용 내역**: 임상개발, 연구개발시설자금, 운영자금   - **사용금액**: 37,300백만 원    ### 사모자금 - **제3자배정 전환사채**:   - **회차**: -   - **납입일**: 2023년 4월 18일   - **사용용도**: 연구개발 및 운전자금   - **조달금액**: 1,000백만 원   - **실제 자금사용 내역**: 연구개발 및 운전자금   - **사용금액**: 1,000백만 원  - **제3자배정 영구전환사채**:   - **회차**: -   - **납입일**: 2025년 6월 20일   - **사용용도**: 연구개발 및 운전자금   - **조달금액**: 34,326백만 원   - **실제 자금사용 내역**: 연구개발 및 운전자금   - **사용금액**: 14,676백만 원  ### 미사용자금의 운용내역 - **예ㆍ적금**:   ",0,0,0,open,0,0,0,0,,,0.0,,,12,0,0,0,0,검색실패,0,0,0,001,answered,1,0,none,open,summarize,,13.3
